Gene,log2 fold change lotr-1 vs. N2 (22G-RNA),BH-adjusted p-value (22G-RNA),N2_r1 normalized counts (22G-RNA),N2_r2 normalized counts (22G-RNA),N2_r3 normalized counts (22G-RNA),lotr-1_r1 normalized counts (22G-RNA),lotr-1_r2 normalized counts (22G-RNA),lotr-1_r3 normalized counts (22G-RNA),Input,Suggested Match,History
WBGene00013221,-4.59530959941863,0.0,6082.68886634842,5224.13442577796,5247.49291553335,246.964645774349,224.019763217649,214.222903481544,WBGene00013221,WBGene00013221,History: N.A.
WBGene00020902,-4.31118507370384,0.0,4333.35213264967,4162.64195874965,3986.01721269775,230.68126253648,178.739172780039,222.206365723093,WBGene00020902,WBGene00020902,History: N.A.
WBGene00011964,-4.28843910727934,0.0,7751.19535213794,7218.74933730146,7291.41156514401,352.806636820499,384.885018719684,400.50368911767,WBGene00011964,WBGene00011964,History: N.A.
CEMUDR1,2.27460518845511,0.0,3842.41473219044,3774.52908360563,3813.8114287787,18459.928797331,18332.681154806,18513.6489381504,,,
CER16-2-I_CE,2.43038525954899,0.0,5440.30110664873,5346.49883322182,5419.01534316701,29373.8664125128,28663.8053414922,29317.9345050457,,,
WBGene00022103,2.49878204843931,0.0,4146.16629538619,3890.88787596022,3981.2337187,22764.1697665411,22715.3656713726,22425.545436509,WBGene00022103,WBGene00022103,History: N.A.
WBGene00006616,2.69906203689537,0.0,1294.13481126255,1192.86529710608,1192.4567180109,8003.2828614127,7996.79059017894,7865.04088496527,WBGene00006616,WBGene00006616,History: N.A.
WBGene00001955,2.79283162579109,0.0,981.023956203627,964.65192371385,956.015443264899,6640.90646384431,6764.68189248187,6692.80251249794,WBGene00001955,WBGene00001955,History: N.A.
WBGene00007372,2.85971786284427,0.0,1187.77922190829,1092.27124436082,1121.38766433002,8527.06502223082,8096.88452693576,8047.32993948063,WBGene00007372,WBGene00007372,History: N.A.
WBGene00022100,2.95566372310409,0.0,1039.73224152717,1001.43631613562,1047.58518550757,8209.53904909237,7875.24795268852,7881.00780944837,WBGene00022100,WBGene00022100,History: N.A.
WBGene00021931,2.97227978746035,0.0,1955.24115468858,1746.13258720499,1814.99429400398,14386.3690906574,14425.4428378343,14440.7526179205,WBGene00021931,WBGene00021931,History: N.A.
LINE2C1_CE,2.98032259226551,0.0,951.244391184436,933.122444495187,994.283395246911,7406.22547602416,7619.05513837046,7705.37164013431,,,
WBGene00001814,3.00445035376344,0.0,832.976975822507,794.242595555839,768.092464781806,6651.76205266955,6230.84756311216,6317.57978714517,WBGene00001814,WBGene00001814,History: N.A.
WBGene00018990,3.0752556512988,0.0,1108.65066342873,1047.97983307746,1029.13456580196,9069.84446349313,8790.39251732232,8961.4363661379,WBGene00018990,WBGene00018990,History: N.A.
WBGene00007242,3.07788185443819,0.0,597.292989813483,543.508165578854,562.402222878493,4739.82147082308,4892.68695623227,4728.87080107707,WBGene00007242,WBGene00007242,History: N.A.
WBGene00021863,3.14680691445163,0.0,1798.68572715912,1571.96974961619,1704.9739320557,15427.1486692779,14591.0744712772,14910.4463131316,WBGene00021863,WBGene00021863,History: N.A.
WBGene00013531,3.21013286100373,0.0,702.797734452902,749.951184272479,751.691913932373,6917.72397888808,6805.19610497868,6703.44712882001,WBGene00013531,WBGene00013531,History: N.A.
LINE2G_CE,3.231392948571,0.0,505.401760611409,515.732195790984,511.833857759406,4752.03400825148,4847.40636579466,4800.72196125101,,,
WBGene00006784,3.3036545581945,0.0,1044.83730981618,900.842263390366,890.413239867165,9467.43040421776,9377.84859852604,9097.15522424422,WBGene00006784,WBGene00006784,History: N.A.
WBGene00004202,3.32526145278917,0.0,824.468528674167,739.441357866258,823.444323898644,7761.74601005097,8132.63236149177,8027.37128387676,WBGene00004202,WBGene00004202,History: N.A.
WBGene00013554,3.37974947250875,0.0,1380.07012746078,1340.00286679317,1390.63004077489,14271.0284593892,14695.9347859748,13819.37314012,WBGene00013554,WBGene00013554,History: N.A.
WBGene00010012,3.39268108199503,0.0,1103.54559513973,1091.52054247466,1133.6880774671,11710.4664452342,11635.9201479805,11629.2433318553,WBGene00010012,WBGene00010012,History: N.A.
WBGene00000140,3.44800650332635,0.0,1853.1397889085,1697.33696460468,1698.82372548716,19511.5639647767,19029.7639286481,18686.6239533839,WBGene00000140,WBGene00000140,History: N.A.
WBGene00015153,3.47559808713867,0.0,457.754456580704,421.894460021155,440.081447793134,5008.49729424792,4895.07014520267,4763.46580412378,WBGene00015153,WBGene00015153,History: N.A.
WBGene00012103,3.49479560516538,0.0,477.323885021886,469.188678849149,476.299330918967,5378.94426290945,5269.23081355555,5391.49816712558,WBGene00012103,WBGene00012103,History: N.A.
WBGene00019881,3.49902231559199,0.0,444.140941143359,448.919727922866,445.548298076279,5186.25756126133,4895.07014520267,5057.52333002081,WBGene00019881,WBGene00019881,History: N.A.
WBGene00021509,3.52748274969746,0.0,336.934507074273,333.311637454435,364.228900114504,4256.74776809963,3814.29394712603,3878.63207235219,WBGene00021509,WBGene00021509,History: N.A.
WBGene00009323,3.53359767131373,0.0,778.52291407313,810.758037051329,856.245425597512,9622.12254497752,9286.09582316562,9460.40275623467,WBGene00009323,WBGene00009323,History: N.A.
WBGene00021939,3.55122651852363,0.0,994.637471640971,892.584542642621,936.1981109885,11281.670686637,11175.9646766932,10604.6990108566,WBGene00021939,WBGene00021939,History: N.A.
WBGene00023497,3.55880630283308,0.0,532.628791486097,502.219561840129,479.032756060539,5928.50844718753,5906.73386313769,5966.30744851705,WBGene00023497,WBGene00023497,History: N.A.
WBGene00004041,3.56959915033148,0.0,2004.59014814895,1826.45768902397,1789.71011144444,22954.1425709829,22569.9911441781,21140.2080156197,WBGene00004041,WBGene00004041,"History: Merged into ""WBGene00206463"" on 2015-03-09"
WBGene00004795,3.65579268282769,0.0,2134.76938951856,2111.72440576425,2130.02154157019,27935.5008931677,25826.6188722304,26610.2102281205,WBGene00004795,WBGene00004795,History: Renamed on 2013-10-16
WBGene00016264,3.69817910083024,0.0,370.117450952799,379.104452510112,350.561774406643,4894.51361158284,4761.61156286024,4603.79655929282,WBGene00016264,WBGene00016264,History: N.A.
WBGene00022519,3.77052411946417,0.0,817.661770955495,784.483471035777,790.643222199777,11302.0249156844,10723.1587723171,10611.3518960579,WBGene00022519,WBGene00022519,History: N.A.
WBGene00016823,3.86295680619537,0.0,429.676580991181,409.132527956458,390.879795244834,6047.91992426524,5999.67823298331,5806.63820368609,WBGene00016823,WBGene00016823,History: N.A.
WBGene00003182,3.93022766596133,0.0,675.570703578213,621.581161739352,652.605252550378,10139.1199627799,9840.18725878374,9721.19585612524,WBGene00003182,WBGene00003182,History: N.A.
WBGene00022129,3.94600480728898,0.0,1015.90858951182,837.032603066881,884.263033298627,13858.5160840298,14364.6715190891,13873.9267987706,WBGene00022129,WBGene00022129,History: N.A.
CER16-2-LTR_CE,3.97367780682858,0.0,541.988083349272,488.706927889273,506.367007476262,7894.72697316023,7970.57551150454,8245.58591847908,,,
WBGene00012222,3.97723140530107,0.0,390.537724108816,405.379018525665,381.312807249331,6384.44317784787,6017.55215026131,6133.96015558957,WBGene00012222,WBGene00012222,History: N.A.
WBGene00021055,3.99939556879631,0.0,293.541426617737,275.50759222022,282.909502152729,4357.16196473316,4590.0219569914,4663.67252610443,WBGene00021055,WBGene00021055,History: N.A.
Turmoil2,4.06164106184914,0.0,401.598705401658,370.846731762367,385.412944961689,6494.35601470349,6417.9278972886,6401.40614068143,,,
WBGene00003387,4.06802006119337,0.0,305.453252625414,293.524437488027,317.077316422383,5165.90333221399,4949.88349152188,5263.76277126081,WBGene00003387,WBGene00003387,History: N.A.
WBGene00009126,4.09488039809968,0.0,319.917612777592,322.801811048214,321.860810420134,5682.90075001634,5290.67951428915,5515.24183186958,WBGene00009126,WBGene00009126,History: N.A.
WBGene00021036,4.09700573747868,0.0,912.956379016905,838.534006839199,869.912551305373,15138.1186168057,14762.664077146,14915.7686212926,WBGene00021036,WBGene00021036,"History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
WBGene00000463,4.12004004141369,0.0,168.467253537136,166.655818727218,178.35599048759,2967.64659510166,3098.14566152068,2872.71582991711,WBGene00000463,WBGene00000463,History: Renamed on 2013-07-26
WBGene00010769,4.14165335333269,0.0,384.581811104978,320.549705389738,361.495474972932,6436.00722476779,6304.72642119457,6054.12553317408,WBGene00010769,WBGene00010769,History: Renamed on 2004-08-25
Helitron1_CE,4.17836610771496,0.0,154.002893384958,175.664241361121,144.87153250333,2940.50762303854,2821.69574095421,2820.82332534705,,,
WBGene00021107,4.18704357830513,0.0,273.121153461721,249.233026204668,244.641550170718,4559.34730660337,4945.11711358108,4425.49923589824,WBGene00021107,WBGene00021107,History: N.A.
WBGene00013222,4.2244336345387,0.0,185.484147833817,216.202143213688,200.906747905561,3913.43977150122,3653.428691624,3724.28513568225,WBGene00013222,WBGene00013222,History: N.A.
WBGene00003674,4.22999680295617,0.0,209.307799849169,219.955652644481,207.056954474099,4106.12647314934,3817.86873058163,4018.34266157928,WBGene00003674,WBGene00003674,History: N.A.
WBGene00021219,4.23692447187853,0.0,347.144643652281,331.059531795959,330.744442130244,6475.35873425931,6210.59045686375,6317.57978714517,WBGene00021219,WBGene00021219,History: N.A.
WBGene00020256,4.23765971026794,0.0,300.34818433641,341.56935820218,312.293822424631,6224.32324267549,5903.15907968209,5895.78686538338,WBGene00020256,WBGene00020256,History: N.A.
WBGene00017186,4.24054221283596,0.0,269.717774602385,234.969690367654,239.858056172966,4704.54080714103,4941.54233012548,4384.25134765024,WBGene00017186,WBGene00017186,History: N.A.
WBGene00015271,4.27389538473981,0.0,355.653090800621,330.308829909801,310.243753568452,6539.13531860763,6380.98846824739,6289.63766929976,WBGene00015271,WBGene00015271,History: N.A.
WBGene00006513,4.29668427927431,0.0,922.315670880079,813.760844595964,824.811036469431,16952.358899225,16996.9037368965,16278.2795105169,WBGene00006513,WBGene00006513,History: N.A.
WBGene00017419,4.32556176299856,0.0,120.819949506431,126.86861876081,131.887763080862,2601.2704722496,2591.71800531056,2434.95598367221,WBGene00017419,WBGene00017419,History: N.A.
WBGene00012759,4.32906012691169,0.0,158.257116959128,147.888271573252,142.138107361758,2962.21880068903,2911.06532734423,3112.21969716356,WBGene00012759,WBGene00012759,History: N.A.
WBGene00015514,4.34437032376966,0.0,143.79275680695,138.879848939348,131.204406795469,2736.96533256518,2868.16792587703,2779.57543709905,WBGene00015514,WBGene00015514,History: Renamed on 2022-03-02; Renamed on 2022-10-03
WBGene00007779,4.41889762304714,0.0,912.956379016905,893.335244528779,888.363171010986,19784.310634011,18721.1409569813,19109.747452186,WBGene00007779,WBGene00007779,History: N.A.
WBGene00019871,4.48636851117522,0.0,698.543510878732,571.284135366723,608.187093999829,14207.2518750408,14135.8853779307,13637.0840856047,WBGene00019871,WBGene00019871,History: N.A.
WBGene00019875,4.53081278119857,0.0,192.290905552489,181.66985645039,205.00688561792,4651.61981161796,4529.25063824619,4221.92094873876,WBGene00019875,WBGene00019875,History: N.A.
WBGene00012922,4.57350940557276,0.0,162.511340533298,168.907924385694,162.63879592355,4100.69867873672,3705.85884897281,3962.45842588844,WBGene00012922,WBGene00012922,History: N.A.
WBGene00001177,4.61838803900945,0.0,693.438442589728,683.889418290519,718.207455948112,17269.8848723634,17366.2980273086,16869.0557163914,WBGene00001177,WBGene00001177,History: N.A.
WBGene00018777,4.69675886845177,0.0,126.775862510269,108.101071606844,118.220637373,3157.61939954346,2971.83664608945,3008.43468802343,WBGene00018777,WBGene00018777,History: N.A.
WBGene00021239,4.76586142879414,0.0,1426.86658677665,1269.43688949426,1428.21463647151,37786.9477520786,37879.5970900311,36528.331486204,WBGene00021239,WBGene00021239,History: N.A.
WBGene00009801,4.79470860049241,0.0,118.267415361929,117.860196126906,118.220637373,3319.096283319,3270.92686187471,3245.27740118936,WBGene00009801,WBGene00009801,History: N.A.
WBGene00004161,4.83190102303556,0.0,295.243116047405,293.524437488027,279.492720725764,8164.75974518823,8191.02049126658,8338.72631129714,WBGene00004161,WBGene00004161,History: N.A.
CER1,4.89439019777358,0.0,264.612706313381,255.238641293937,231.657780748249,7349.23363469162,7290.17506045519,7637.51221108115,,,
WBGene00022139,4.99909229185524,0.0,91.0403844872403,67.5631697542774,89.5196733864916,2602.62742085276,2610.78351707377,2713.04658508614,WBGene00022139,WBGene00022139,"History: Split into Y71G12A.5(WBGene00303094). History of WBGene00022139: Renamed on 2008-05-02; Split into ""WBGene00303094"" on 2018-03-02"
WBGene00000497,5.1708505275,0.0,366.714072093463,311.541282755835,358.078693545967,12525.9925557309,12458.1203427687,12313.1599305479,WBGene00000497,WBGene00000497,History: N.A.
WBGene00002176,5.24152538236079,0.0,340.337885933609,345.322867632973,307.51032842688,12470.3576630015,12682.1401059864,12327.7962779907,WBGene00002176,WBGene00002176,History: N.A.
WBGene00003609,5.34399832722031,0.0,53.6032170345434,58.5547471203738,56.0352154022314,2278.31670469853,2286.6698170993,2276.61731588151,WBGene00003609,WBGene00003609,History: N.A.
