...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
W04B5.1,1655.97183661176,7.29707923134443,0.0,0.0,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y17D7B.4,3951.75390187824,6.93569885280926,2.00886199787847e-263,1.93825049865304e-259,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
K02E2.6,1765.92992185243,5.34436561871066,9.78662406973803e-257,6.29508282245782e-253,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C44B11.6,1434.54178911466,5.65678200237172,3.85043772583206e-243,1.8575474198845304e-239,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
F56D6.16,1138.63306880344,6.76258009736363,6.63495847118026e-225,2.56069587236731e-221,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
Y37E11B.2,1934.77051965766,5.47121164431235,1.59395919314579e-204,5.126438425022381e-201,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
F39E9.7,1028.69835945189,3.67058513056615,4.36574989103167e-197,1.20351250924626e-193,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
W04B5.2,2190.49749198364,4.988137483821,2.7059307696309503e-188,6.52704325769605e-185,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
ZK402.3,1557.53247266144,5.46190181636811,3.89784599278518e-184,8.357414902530623e-181,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
Y59H11AR.6,10088.6968532231,3.80362514446356,4.26520938271796e-182,8.23057454583084e-179,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
C53D5.5,1047.67690765345,-3.31477723389925,1.18020509234762e-177,2.07040160609381e-174,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
T23F6.3,876.105162624494,3.84103513579515,2.33212995551363e-136,3.75025931262888e-133,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
F56D6.17,486.101846772387,5.45758320944189,9.02644243170093e-134,1.3398712277271799e-130,F56D6.17,WBGene00219307,Public name for WBGene00219307. History: N.A.
ZK402.5,493.308674637571,4.76987506471188,8.10042763918473e-117,1.1165282296667701e-113,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
Y59C2A.1,353.483152529422,-3.23880716535273,1.38384761899992e-100,1.78027383358943e-97,Y59C2A.1,WBGene00021984,Public name for WBGene00021984. History: N.A.
rgef-1,353.962865206254,4.81468416311304,2.6069429128354597e-92,3.14413608681162e-89,rgef-1,WBGene00009100,Public name for WBGene00009100. History: N.A.
rde-4,12992.3970843703,3.3945531745572,3.13013879141498e-89,3.55307577987853e-86,rde-4,WBGene00004326,Public name for WBGene00004326. History: N.A.
Y17D7B.7,318.933507870363,4.52003309093308,1.40213865710546e-84,1.50317053700912e-81,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
aex-5,1974.98815951961,3.47012533605271,3.93081346114017e-82,3.9922582820853596e-79,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
Y43F8B.9,252.621257339995,4.39193146433997,3.7535212528944e-77,3.62158498085516e-74,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
