gene_id,gene_name,chr,start,end,strand,mean of normalized counts for all samples,log2 fold change (MLE): group pid2 tm1614 vs N2,BH adjusted p-values,tm1614_sensorOFF_rep1_RppH.robustRPKM,tm1614_sensorOFF_rep2_RppH.robustRPKM,tm1614_sensorOFF_rep3_RppH.robustRPKM,tm1614_sensorON_rep1_RppH.robustRPKM,tm1614_sensorON_rep2_RppH.robustRPKM,tm1614_sensorON_rep3_RppH.robustRPKM,WT_new_rep1_RppH.robustRPKM,WT_new_rep2_RppH.robustRPKM,WT_new_rep3_RppH.robustRPKM,WT_old_rep1_RppH.robustRPKM,WT_old_rep2_RppH.robustRPKM,WT_old_rep3_RppH.robustRPKM,WT_control_REP1_RppH.robustRPKM,WT_control_REP2_RppH.robustRPKM,WT_control_REP3_RppH.robustRPKM,WT_control_REP4_RppH.robustRPKM,RFK530_mut_REP1_RppH.robustRPKM,RFK530_mut_REP2_RppH.robustRPKM,RFK530_mut_REP3_RppH.robustRPKM,Input,Suggested Match,History
WBGene00016906,C53D5.5,I,305811.0,311130.0,-,502.440162994135,5.80122394914835,0.0,416.442268378394,415.332499378151,326.48941896469,378.746424061059,308.812038547754,370.852573973343,7.82977976508915,5.33053313105744,5.81764430954593,6.7361857759775,10.9195738724974,5.52998059112859,8.90634050179211,4.37233136697655,7.0649634614992,5.78630385326259,370.127366052371,375.602608036623,340.582330197834,WBGene00016906,WBGene00016906,History: N.A.
WBGene00010738,K10D3.4,I,7134738.0,7139973.0,-,436.041992878327,7.66694089300909,1.11404786705307e-224,273.80230463375,242.23331408879,211.475056883004,230.784690320782,224.129736456172,271.685147727194,0.625171463507545,0.65094556611256,0.754831698842313,1.55379777104176,1.04948174110632,0.546672540694352,3.69787509788025,1.81537358451206,2.09524507098983,1.1440233384425,179.863442023361,192.839694237539,183.859733889255,WBGene00010738,WBGene00010738,History: N.A.
WBGene00009354,F33A8.6,II,11050260.0,11058102.0,+,409.438930097223,5.19846173001284,3.8169465335793e-175,768.546937656473,774.848444099716,744.111668305024,794.788593554862,676.587267929822,902.721870445304,22.263016565831,14.125836319065,19.7402603986349,23.9917745100831,22.4238924054842,17.034138588348,30.8637282559664,16.1618430080007,11.658420541345,12.2219640636885,514.011463419488,530.281665806935,450.45783499711,WBGene00009354,WBGene00009354,History: N.A.
WBGene00010083,xhd-1,IV,14401114.0,14412894.0,-,856.897916714683,9.0451978195469,2.2165312935539404e-173,328.681184258044,499.604126706846,348.33580970091,484.171521749294,369.510755112738,468.771676862897,1.54464747156882,0.536109681645531,0.518057375338627,0.799803846646346,0.172867702433975,0.0,2.03034554110649,0.249186057208194,0.0,1.22486214762823,258.343987091522,257.027666199373,255.28077446189,WBGene00010083,WBGene00010083,History: N.A.
WBGene00008403,csa-1,II,9317551.0,9319627.0,-,569.492603599929,7.00524590406673,1.46442226987827e-172,909.155184504228,843.190678448856,636.739178945301,922.237595712894,828.457054497184,908.493231792477,4.66764381408615,6.48010393378089,9.07975613693496,8.70070250046258,2.08949906505648,6.34908801929333,6.13533507148908,3.76497479163654,5.21449355121977,3.13187829132018,522.833070523204,474.129205754012,479.936504687657,WBGene00008403,WBGene00008403,History: N.A.
WBGene00003252,mig-21,III,5877020.0,5878419.0,-,428.140763941364,5.83109153228755,4.2776343217659e-157,819.730084389058,628.199291652641,521.742795773135,929.079625873536,805.500687258318,852.016498348468,17.7293100673162,9.57197672845934,18.6314612418055,15.3001150221711,9.92079148636967,14.3547685255991,9.71004342000171,6.67364316197084,6.60214422921472,7.20966457486231,584.888089281095,506.366968754496,500.733525273291,WBGene00003252,WBGene00003252,History: N.A.
WBGene00010623,K07A12.5,I,8693451.0,8695159.0,-,668.628952669054,5.96944077559068,1.12944968009521e-156,1076.82431101384,1023.00879850725,927.87896755408,1096.45116609891,961.506264766891,806.878344836545,8.99117099289864,15.7981257250864,17.3016466699971,18.8549502571096,32.2625077273053,16.2157980904782,4.98586626672428,8.15892882348343,7.53341595264218,8.94646084005963,752.753875676374,790.697217753149,796.695044574181,WBGene00010623,WBGene00010623,History: N.A.
WBGene00012712,ttm-1,III,12952969.0,12966995.0,-,615.602685092748,5.99198697981464,1.49264589932109e-152,698.237650181508,535.503523109754,380.471081797954,716.878578338389,756.528031080301,756.694443031965,7.17898237625108,13.2888037419071,14.6872742803637,9.66474379789762,11.2480025174321,12.2063702831772,5.89771093630976,3.47438948892633,4.01002719962371,6.78748790764302,608.607992803004,429.690371443242,499.423033154289,WBGene00012712,WBGene00012712,History: N.A.
WBGene00044070,set-18,I,10590678.0,10593972.0,+,359.797823894688,7.69866880918681,4.5083088049287305e-149,323.132015398479,355.376829944816,314.428725950705,481.291566060393,394.882558069174,471.833588944008,0.0,1.24373854117095,1.92297344011792,1.85549133602209,0.401041487221197,0.348169260051381,3.53269921411117,2.8904747841989,2.66887349076017,3.49735152576235,307.918178642732,269.219114477999,255.500663979724,WBGene00044070,WBGene00044070,History: Renamed on 2005-10-05; Renamed on 2007-05-03
WBGene00007060,wht-6,III,6471720.0,6475246.0,+,625.838237220237,4.29656052804485,1.19180349833546e-144,626.353509903072,684.654177831901,575.927620918653,652.792767499341,532.471161377674,657.281622129035,27.668607709814,22.8553846819473,42.092898765292,25.7877779318332,23.0379973223053,21.2910996138818,25.0944091613867,28.9238880785321,28.437378609644,29.5689492067219,374.453912859926,397.045735418318,368.517000203284,WBGene00007060,WBGene00007060,History: Renamed on 2007-06-04
