# Note: In the following rows commas have been replaced with semicolons to work better with r
# Random 5000 genes
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,5896642,5897411,C34G6.3,1436,+,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
chrI,5491476,5493534,C09D4.2,1431,+,C09D4.2,WBGene00015633,Public name for WBGene00015633. History: N.A.
chrI,8139462,8142532,del-4,2394,-,del-4,WBGene00012116,Public name for WBGene00012116. History: N.A.
chrI,13193788,13193933,F17B5.11,1307,+,F17B5.11,WBGene00200970,Public name for WBGene00200970. History: N.A.
chrI,7454664,7456883,spe-4,1233,+,spe-4,WBGene00004958,Public name for WBGene00004958. History: N.A.
chrI,13927945,13928734,Y71A12B.23,2359,-,Y71A12B.23,WBGene00195227,Public name for WBGene00195227. History: N.A.
chrI,9757869,9760809,F26E4.2,1318,-,F26E4.2,WBGene00009157,Public name for WBGene00009157. History: N.A.
chrI,12225416,12225488,F14B6.t2,2519,-,F14B6.t2,WBGene00014328,Public name for WBGene00014328. History: N.A.
chrI,11146439,11148338,clec-94,1740,+,clec-94,WBGene00013928,Public name for WBGene00013928. History: N.A.
chrI,4564041,4565987,pqn-24,1826,+,pqn-24,WBGene00004113,Public name for WBGene00004113. History: N.A.
chrI,13128458,13130398,C17H1.8,2541,-,C17H1.8,WBGene00007661,"Sequence name for WBGene00007661(pals-7). History: Split into pals-11(WBGene00044708). History of WBGene00007661: Split into ""WBGene00044708"" on 2006-01-13"
chrI,7695656,7698219,gld-1,35,+,gld-1,WBGene00001595,Public name for WBGene00001595. History: N.A.
chrI,13534733,13537126,Y87G2A.2,502,+,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
chrI,3799126,3805707,unc-11,819,-,unc-11,WBGene00006751,Public name for WBGene00006751. History: Renamed on 2015-03-05
chrI,12430018,12431464,clec-17,1540,-,clec-17,WBGene00008477,Public name for WBGene00008477. History: N.A.
chrI,3974113,3977259,F28H1.4,2077,-,F28H1.4,WBGene00017909,Public name for WBGene00017909. History: N.A.
chrI,5620779,5623053,F46F11.7,789,+,F46F11.7,WBGene00018510,Public name for WBGene00018510. History: N.A.
chrI,9960326,9961961,tag-179,2268,-,tag-179,WBGene00007043,Other name for WBGene00007043(algn-10). History: Renamed on 2018-11-12
chrI,4836187,4840172,F57C9.3,1503,+,F57C9.3,WBGene00019010,Sequence name for WBGene00019010(glo-2). History: N.A.
chrI,13238528,13240715,ZK1053.6,2022,+,ZK1053.6,WBGene00014201,"Public name for WBGene00014201. History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
chrI,12859488,12861283,clec-104,1118,+,clec-104,WBGene00012480,Public name for WBGene00012480. History: N.A.
chrI,5104971,5105106,Y110A7A.23,2058,+,Y110A7A.23,WBGene00201165,Public name for WBGene00201165. History: N.A.
chrI,7723745,7724650,F27D4.7,360,-,F27D4.7,WBGene00009191,Public name for WBGene00009191. History: N.A.
chrI,11820678,11823450,T02G6.11,1457,+,T02G6.11,WBGene00086562,Public name for WBGene00086562. History: N.A.
chrI,11465131,11467599,bah-1,1815,+,bah-1,WBGene00050875,Public name for WBGene00050875. History: N.A.
chrI,9563834,9563919,C36F7.t3,1358,-,C36F7.t3,WBGene00014281,Public name for WBGene00014281. History: N.A.
chrI,7656902,7658289,F26A3.4,966,-,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
chrI,8816974,8821353,F36A2.9,276,+,F36A2.9,WBGene00009456,Public name for WBGene00009456. History: N.A.
chrI,12347690,12349810,T09E11.9,2169,-,T09E11.9,WBGene00011658,Public name for WBGene00011658. History: N.A.
chrI,13540701,13540761,Y87G2A.23,1443,-,Y87G2A.23,WBGene00201013,Public name for WBGene00201013. History: N.A.
chrI,4641263,4644278,Y119C1A.1,515,-,Y119C1A.1,WBGene00022466,Public name for WBGene00022466. History: N.A.
chrI,10162378,10163542,C25A1.1,435,+,C25A1.1,WBGene00007705,Public name for WBGene00007705. History: N.A.
chrI,10474843,10475516,Y106G6H.16,1058,+,Y106G6H.16,WBGene00013726,Public name for WBGene00013726. History: N.A.
chrI,6146551,6147232,ttr-56,1435,+,ttr-56,WBGene00050896,Public name for WBGene00050896. History: N.A.
chrI,6632451,6632595,D2092.14,2522,+,D2092.14,WBGene00200833,Public name for WBGene00200833. History: N.A.
chrI,6926260,6929662,ztf-4,204,+,ztf-4,WBGene00020399,Public name for WBGene00020399. History: N.A.
chrI,9335763,9342488,lin-41,755,-,lin-41,WBGene00003026,Public name for WBGene00003026. History: Renamed on 2005-08-24
chrI,11493025,11495070,K08C9.8,836,-,K08C9.8,WBGene00045218,Public name for WBGene00045218. History: N.A.
chrI,5298757,5300334,hpo-32,415,-,hpo-32,WBGene00015313,Public name for WBGene00015313. History: N.A.
chrI,8384973,8386972,ser-5,1006,+,ser-5,WBGene00008890,Public name for WBGene00008890. History: N.A.
chrI,7103810,7104135,F22D6.17,2398,-,F22D6.17,WBGene00077767,Public name for WBGene00077767. History: N.A.
chrI,4805605,4809675,F54D7.2,575,+,F54D7.2,WBGene00018797,Sequence name for WBGene00018797(ept-1). History: N.A.
chrI,10565254,10565432,F25H2.15,1550,+,F25H2.15,WBGene00045162,Public name for WBGene00045162. History: N.A.
chrI,3830941,3834123,F53F10.2,478,+,F53F10.2,WBGene00018764,Public name for WBGene00018764. History: N.A.
chrI,13096808,13097016,Y26D4A.23,2092,+,Y26D4A.23,WBGene00197538,Public name for WBGene00197538. History: N.A.
chrI,9476596,9477081,F30A10.14,2540,+,F30A10.14,WBGene00045473,Public name for WBGene00045473. History: N.A.
chrI,14678984,14679699,Y105E8B.10,1329,-,Y105E8B.10,WBGene00014964,Public name for WBGene00014964. History: N.A.
chrI,17482,26778,Y74C9A.4,376,-,Y74C9A.4,WBGene00022278,Sequence name for WBGene00022278(rcor-1). History: N.A.
chrI,12126445,12128956,srt-21,2083,+,srt-21,WBGene00010818,Public name for WBGene00010818. History: N.A.
chrI,7486572,7490170,T28F4.4,962,-,T28F4.4,WBGene00012139,Public name for WBGene00012139. History: N.A.
chrI,3918463,3925166,T20F5.6,241,-,T20F5.6,WBGene00020628,Public name for WBGene00020628. History: N.A.
chrI,12642392,12642890,H16D19.6,679,-,H16D19.6,WBGene00195254,Public name for WBGene00195254. History: N.A.
chrI,5023888,5041157,lfe-2,923,+,lfe-2,WBGene00002979,Public name for WBGene00002979. History: N.A.
chrI,11570876,11571221,F15D3.5,1585,-,F15D3.5,WBGene00008855,Public name for WBGene00008855. History: N.A.
chrI,3885550,3885964,abf-2,2244,-,abf-2,WBGene00000013,Public name for WBGene00000013. History: N.A.
chrI,10150273,10155088,F16C3.2,1926,-,F16C3.2,WBGene00008886,Public name for WBGene00008886. History: N.A.
chrI,7508716,7512619,glb-8,1897,+,glb-8,WBGene00007741,Public name for WBGene00007741. History: N.A.
chrI,14737688,14738784,K05C4.7,311,+,K05C4.7,WBGene00010583,Public name for WBGene00010583. History: N.A.
chrI,3963117,3964180,F47B3.5,2472,-,F47B3.5,WBGene00018529,Public name for WBGene00018529. History: N.A.
chrI,11501614,11507120,F32B4.8,1166,+,F32B4.8,WBGene00009318,Public name for WBGene00009318. History: N.A.
chrI,13392104,13393990,C01A2.4,1108,+,C01A2.4,WBGene00007216,Public name for WBGene00007216. History: N.A.
chrI,5402897,5408462,frm-4,470,-,frm-4,WBGene00001491,Public name for WBGene00001491. History: N.A.
chrI,8513894,8517529,axl-1,791,+,axl-1,WBGene00010497,Public name for WBGene00010497. History: N.A.
chrI,8225883,8225948,T02E1.11,1327,-,T02E1.11,WBGene00201225,Public name for WBGene00201225. History: N.A.
chrI,14018790,14019674,ins-29,1447,+,ins-29,WBGene00002112,Public name for WBGene00002112. History: N.A.
chrI,9839588,9844801,nhr-62,2257,+,nhr-62,WBGene00003652,Public name for WBGene00003652. History: N.A.
chrI,7188492,7190560,M05B5.4,1145,+,M05B5.4,WBGene00010872,Sequence name for WBGene00010872(plag-15). History: N.A.
