# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets 1–50 RPM (1432),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000040,,,,WBGene00000040,WBGene00000040,History: N.A.
WBGene00000063,,,,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000065,,,,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000066,,,,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000074,,,,WBGene00000074,WBGene00000074,History: N.A.
WBGene00000094,,,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00000106,,,,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000137,,,,WBGene00000137,WBGene00000137,History: N.A.
WBGene00000143,,,,WBGene00000143,WBGene00000143,History: N.A.
WBGene00000144,,,,WBGene00000144,WBGene00000144,History: N.A.
WBGene00000150,,,,WBGene00000150,WBGene00000150,History: Renamed on 2015-03-05
WBGene00000157,,,,WBGene00000157,WBGene00000157,History: N.A.
WBGene00000163,,,,WBGene00000163,WBGene00000163,History: N.A.
WBGene00000165,,,,WBGene00000165,WBGene00000165,History: N.A.
WBGene00000168,,,,WBGene00000168,WBGene00000168,History: N.A.
WBGene00000181,,,,WBGene00000181,WBGene00000181,History: N.A.
WBGene00000183,,,,WBGene00000183,WBGene00000183,History: Renamed on 2020-09-10
WBGene00000184,,,,WBGene00000184,WBGene00000184,History: N.A.
WBGene00000195,,,,WBGene00000195,WBGene00000195,History: N.A.
WBGene00000201,,,,WBGene00000201,WBGene00000201,History: N.A.
WBGene00000203,,,,WBGene00000203,WBGene00000203,History: N.A.
WBGene00000206,,,,WBGene00000206,WBGene00000206,History: N.A.
WBGene00000223,,,,WBGene00000223,WBGene00000223,"History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
WBGene00000230,,,,WBGene00000230,WBGene00000230,History: N.A.
WBGene00000249,,,,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000259,,,,WBGene00000259,WBGene00000259,History: N.A.
WBGene00000263,,,,WBGene00000263,WBGene00000263,History: N.A.
WBGene00000265,,,,WBGene00000265,WBGene00000265,History: N.A.
