WBGene,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00003579,protein_coding,2237.05197976834,-6.01832194732846,0.265778365983108,-22.6441378141025,1.59359689292608e-113,2.06227373913564e-109,WBGene00003579,WBGene00003579,History: N.A.
WBGene00010212,protein_coding,5322.87511087178,3.36687214395469,0.163285661733687,20.6195210786231,1.83364542876111e-94,1.18646027467987e-90,WBGene00010212,WBGene00010212,History: N.A.
WBGene00022100,protein_coding,1758.17882502912,-3.89240028524999,0.21351006074047,-18.2305239938148,2.95476493282184e-74,1.2745870998549099e-70,WBGene00022100,WBGene00022100,History: N.A.
WBGene00195070,protein_coding,1357.63946161869,3.76584227143074,0.2212911544275,17.0175906089573,6.08224170596316e-65,1.9677572479217303e-61,WBGene00195070,WBGene00195070,History: N.A.
WBGene00000518,protein_coding,3005.09573198182,-2.87789866035121,0.174765257825681,-16.4672240704829,6.3100191140776e-61,1.6331591471055598e-57,WBGene00000518,WBGene00000518,History: N.A.
WBGene00010295,pseudogene,7726.84946085378,3.02928502846003,0.194330287447907,15.5883319488841,8.73856349847609e-55,1.88476250389632e-51,WBGene00010295,WBGene00010295,History: N.A.
WBGene00015852,protein_coding,419.397003872835,3.3544859646005,0.225485487869907,14.8767266412101,4.66785209364748e-50,8.629524849127441e-47,WBGene00015852,WBGene00015852,History: N.A.
WBGene00019538,protein_coding,375.533230774031,-6.18564493334738,0.43182053868307,-14.3245732410316,1.53669150283772e-46,2.48579059227786e-43,WBGene00019538,WBGene00019538,History: N.A.
WBGene00012819,protein_coding,3112.36447701223,3.97225228917009,0.278071452952514,14.2850056954549,2.71387303593658e-46,3.90224788422836e-43,WBGene00012819,WBGene00012819,History: N.A.
WBGene00000685,protein_coding,2576.8294093156,-5.05482755717969,0.382445476195608,-13.2171194897186,6.98895460084938e-40,9.04440614895918e-37,WBGene00000685,WBGene00000685,History: N.A.
WBGene00017106,protein_coding,963.609026088483,-2.69919096993628,0.210906770916886,-12.7980289973714,1.6816541263408501e-37,1.97838964081609e-34,WBGene00017106,WBGene00017106,History: N.A.
WBGene00020390,protein_coding,383.568549237339,-3.07292068715525,0.241005514346859,-12.7504165018094,3.10084118846904e-37,3.343998818331489e-34,WBGene00020390,WBGene00020390,History: N.A.
WBGene00009126,protein_coding,3344.13978966781,-2.91137242464103,0.228800838748876,-12.7244831817966,4.32325859087629e-37,4.30363764804078e-34,WBGene00009126,WBGene00009126,History: N.A.
