# Curated list of genes misregulated in the rde-4 [ne299 and ne337] strains relative to the N2 strain. The uncurated output from the microarray analysis software package GeneSifter is presented in worksheet ""rde-4 raw data""
gene,affy_id,fold change,direction,Input,Suggested Match,History
F15E11.15,175239_at,49.36,Up,F15E11.15,WBGene00017501,Sequence name for WBGene00017501(pud-3). History: N.A.
F15E11.12,186519_at,48.32,Up,F15E11.12,WBGene00017498,Sequence name for WBGene00017498(pud-4). History: N.A.
C07G1.7,180773_at,36.62,Up,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
F11A6.2,178635_at,9.89,Up,F11A6.2,WBGene00008681,Sequence name for WBGene00008681(scrm-4). History: Renamed on 2007-05-03
C24D10.7,172527_x_at,9.16,Up,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C32H11.4,180909_at,8.86,Up,C32H11.4,WBGene00007867,Public name for WBGene00007867. History: N.A.
ZK177.9,187540_at,8.34,Up,ZK177.9,WBGene00022674,Public name for WBGene00022674. History: N.A.
W04B5.1,180965_at,6.47,Up,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
H17B01.3,184456_at,6.41,Up,H17B01.3,WBGene00019208,Sequence name for WBGene00019208(lips-14). History: N.A.
M02D8.4,190094_s_at,5.8,Up,M02D8.4,WBGene00019730,Sequence name for WBGene00019730(asns-2). History: N.A.
Y53F4B.15,173257_s_at,5.53,Up,Y53F4B.15,WBGene00000208,Sequence name for WBGene00000208(trip-4). History: Renamed on 2017-11-13
Y17D7B.7,173207_at,5.45,Up,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
C46A5.1,191845_at,5.37,Up,C46A5.1,WBGene00016698,Public name for WBGene00016698. History: N.A.
K10C2.3,189595_s_at,5.3,Up,K10C2.3,WBGene00019619,Sequence name for WBGene00019619(asp-14). History: N.A.
C18D4.6,179369_s_at,5.09,Up,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
T27A3.3,188203_at,5.01,Up,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
B0024.4,179457_at,4.6,Up,B0024.4,WBGene00007097,Public name for WBGene00007097. History: N.A.
T23B7.1,172486_x_at,4.57,Up,T23B7.1,WBGene00020715,Sequence name for WBGene00020715(nspd-4). History: N.A.
F55G11.8,183378_at,4.31,Up,F55G11.8,WBGene00010128,Public name for WBGene00010128. History: N.A.
T24B8.5,178297_at,4.18,Up,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
C35D10.11,172630_x_at,4.11,Up,C35D10.11,WBGene00016447,Sequence name for WBGene00016447(msd-4). History: N.A.
C54D10.1,191541_at,4.11,Up,C54D10.1,WBGene00008296,Sequence name for WBGene00008296(cdr-2). History: N.A.
T22B7.7,173688_s_at,4.02,Up,T22B7.7,WBGene00020674,Public name for WBGene00020674. History: N.A.
Y105C5A.25,187110_at,3.82,Up,Y105C5A.25,WBGene00013644,Public name for WBGene00013644. History: N.A.
C56A3.2,173919_s_at,3.78,Up,C56A3.2,WBGene00008341,Sequence name for WBGene00008341(ttr-44). History: N.A.
C08F11.13,175229_at,3.77,Up,C08F11.13,WBGene00007460,Public name for WBGene00007460. History: N.A.
Y22F5A.5,183028_s_at,3.56,Up,Y22F5A.5,WBGene00003091,Sequence name for WBGene00003091(lys-2). History: N.A.
C46C2.2,189560_at,3.53,Up,C46C2.2,WBGene00008110,Public name for WBGene00008110. History: N.A.
Y69H2.9,178210_at,3.53,Up,Y69H2.9,WBGene00013484,Public name for WBGene00013484. History: N.A.
K08C7.2,191850_s_at,3.48,Up,K08C7.2,WBGene00001476,Sequence name for WBGene00001476(fmo-1). History: N.A.
D1086.3,177920_at,3.47,Up,D1086.3,WBGene00008390,Public name for WBGene00008390. History: N.A.
F55G11.2,181635_at,3.47,Up,F55G11.2,WBGene00010123,Public name for WBGene00010123. History: N.A.
C33F10.1,184740_at,3.39,Up,C33F10.1,WBGene00016351,Public name for WBGene00016351. History: N.A.
C13B9.4,191912_at,3.34,Up,C13B9.4,WBGene00015735,Sequence name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
C06C3.5,177408_at,3.19,Up,C06C3.5,WBGene00007376,Public name for WBGene00007376. History: N.A.
C40A11.8,184860_at,3.19,Up,C40A11.8,WBGene00016551,Public name for WBGene00016551. History: N.A.
R10D12.9,180810_at,3.18,Up,R10D12.9,WBGene00011190,Sequence name for WBGene00011190(swt-6). History: N.A.
C05E11.4,190834_at,3.16,Up,C05E11.4,WBGene00000133,Sequence name for WBGene00000133(amt-1). History: N.A.
F55A12.4,189280_at,3.16,Up,F55A12.4,WBGene00000966,Sequence name for WBGene00000966(dhs-2). History: N.A.
C07G1.6,179960_at,3.11,Up,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
F53B2.8,174012_s_at,3.06,Up,F53B2.8,WBGene00009957,Public name for WBGene00009957. History: N.A.
K08D8.5,178927_at,3.05,Up,K08D8.5,WBGene00010659,Public name for WBGene00010659. History: N.A.
F01D4.1,191482_at,3.0,Up,F01D4.1,WBGene00008485,Sequence name for WBGene00008485(ugt-43). History: N.A.
F56C3.9,180704_at,2.93,Up,F56C3.9,WBGene00018946,Public name for WBGene00018946. History: N.A.
F56D6.2,181565_at,2.9,Up,F56D6.2,WBGene00018971,Sequence name for WBGene00018971(clec-67). History: N.A.
ZC116.2,189250_at,2.88,Up,ZC116.2,WBGene00013854,Sequence name for WBGene00013854(cyc-2.2). History: N.A.
D2096.3,183207_at,2.87,Up,D2096.3,WBGene00017071,Sequence name for WBGene00017071(aagr-1). History: N.A.
Y41D4B.16,176044_at,2.87,Up,Y41D4B.16,WBGene00021518,Sequence name for WBGene00021518(hpo-6). History: N.A.
F01D5.2,178273_at,2.78,Up,F01D5.2,WBGene00008493,Public name for WBGene00008493. History: N.A.
M110.1,188132_at,2.76,Up,M110.1,WBGene00000652,Sequence name for WBGene00000652(col-76). History: N.A.
C54G4.1,192218_at,2.71,Up,C54G4.1,WBGene00008311,Sequence name for WBGene00008311(rskn-2). History: N.A.
K02E2.6,177952_s_at,2.71,Up,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y73B3A.11,172051_x_at,2.69,Up,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
F01D4.2,191445_at,2.63,Up,F01D4.2,WBGene00008486,Sequence name for WBGene00008486(ugt-44). History: N.A.
F39E9.7,172253_x_at,2.63,Up,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F56G4.1,178794_at,2.63,Up,F56G4.1,WBGene00010157,"Sequence name for WBGene00010157(oac-34). History: Split into M04D5.3(WBGene00077770). History of WBGene00010157: Split into ""WBGene00077770"" on 2008-06-10"
D2096.1,183155_at,2.6,Up,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
R03E9.1,193723_s_at,2.59,Up,R03E9.1,WBGene00003163,Sequence name for WBGene00003163(mdl-1). History: N.A.
Y42A5A.3,180883_at,2.59,Up,Y42A5A.3,WBGene00012778,Public name for WBGene00012778. History: N.A.
