gene_id,gene_name,log2 fold change (MLE): group rrf3 L4 vs N2 L4,Benjamini-Hochberg adjusted p-values,N2_L4_rep1.robustRPKM,N2_L4_rep2.robustRPKM,N2_L4_rep3.robustRPKM,rrf3_L4_rep1.robustRPKM,rrf3_L4_rep2.robustRPKM,rrf3_L4_rep3.robustRPKM,Input,Suggested Match,History
WBGene00014183,ZK1025.3,-6.32487618921834,3.93766269176261e-65,192.293384640626,160.631080781552,140.529820082156,1.34763145841018,3.42725646639949,1.24056830245591,WBGene00014183,WBGene00014183,History: N.A.
WBGene00044644,B0205.13,3.72155542382287,3.83857738328309e-44,11.9563970683497,20.7580506492004,18.4145226499893,238.750698532713,188.305485811053,247.283876394838,WBGene00044644,WBGene00044644,History: N.A.
WBGene00270321,Y41C4A.32,4.52973073971219,8.56810576726584e-39,4.48618510606988,3.79935230064153,9.1750204099172,153.367460649979,114.4277637174,138.830065374643,WBGene00270321,WBGene00270321,History: N.A.
WBGene00000675,col-101,4.26274125891166,3.27396969754038e-36,2.93828998478974,2.65692725590184,4.77678711417895,52.7242095834605,88.3309362737133,59.5246848559559,WBGene00000675,WBGene00000675,History: N.A.
WBGene00001606,gln-5,2.07043277800786,4.94930676814786e-36,19.9724140278614,20.1107805737815,22.3026723803568,93.0050704817961,84.5054233562024,84.8249653306931,WBGene00001606,WBGene00001606,History: N.A.
WBGene00021018,W04B5.1,2.98362602962613,6.98855857929223e-34,6.34539499644133,5.90171356323502,6.20494933366444,54.9355157394595,43.8197756368708,47.4634165592338,WBGene00021018,WBGene00021018,History: N.A.
WBGene00000190,arf-1.1,3.56475943516282,4.97240895861099e-32,6.10071875688075,5.32816104318161,3.69217924378676,64.6847233104487,46.6717736590382,66.6412307584091,WBGene00000190,WBGene00000190,History: Renamed on 2020-09-10
WBGene00019967,cyp-33C8,2.63934079209042,9.344733208844527e-29,3.13985383881879,3.54898737322154,4.08581487863993,21.7922888321174,24.8141578985832,20.672606735723,WBGene00019967,WBGene00019967,History: N.A.
WBGene00003533,nas-14,-2.72047631607281,8.20801639700178e-26,36.0152564682037,32.4907964643497,27.7700968184922,3.75727936851207,5.92383397625027,4.82924098666817,WBGene00003533,WBGene00003533,History: N.A.
WBGene00003865,oma-2,2.44979321721169,8.20801639700178e-26,20.7400953441252,17.9430924871015,28.8371107070153,124.684924699634,125.452136471943,119.365207725298,WBGene00003865,WBGene00003865,History: N.A.
WBGene00013644,Y105C5A.25,3.00928183838253,1.14193452913485e-25,2.68745123417983,2.46749442712227,4.06829752947918,23.5166833124097,26.0892490312813,25.4175297732395,WBGene00013644,WBGene00013644,History: N.A.
WBGene00011320,T01C3.3,2.07694352441769,1.2682927621868402e-25,29.9253877857284,25.0918268913302,30.5780576074156,132.381055596773,105.499519781599,123.829534340861,WBGene00011320,WBGene00011320,History: N.A.
WBGene00019606,clec-88,2.06887391047851,1.31757037118575e-25,20.1098312077813,19.2994636125564,25.4658262488837,87.329663613758,97.6238318990373,87.6620744119966,WBGene00019606,WBGene00019606,History: Renamed on 2006-06-15
WBGene00009706,argk-1,3.36080222199866,3.09048497147296e-25,1.69956580623098,1.84418395889418,2.75533567644761,24.5306443541327,17.6264102137256,23.2508871286172,WBGene00009706,WBGene00009706,History: N.A.
WBGene00009048,cth-1,2.85138870770334,1.14298128357721e-24,6.66491583947933,8.10337208858566,12.1612292282249,67.1239060140004,57.4260020683603,70.5005520467529,WBGene00009048,WBGene00009048,History: N.A.
WBGene00011501,rmd-1,1.89028621993216,3.10507742846691e-24,47.4586748702405,39.4887248879915,44.0670259774661,170.224518819567,141.751016893384,174.012684354318,WBGene00011501,WBGene00011501,History: N.A.
WBGene00014097,ZK829.9,3.25060901837903,3.67724296014673e-24,1.0599310904036,1.49515851606093,1.54175080373524,11.4115412523106,16.1925857104234,11.3968759097231,WBGene00014097,WBGene00014097,History: N.A.
WBGene00007177,oac-1,-5.16143838869497,4.41909639349009e-24,7.72653215556283,6.16306719882939,6.91755127355446,0.155915657969111,0.264346726573629,0.143528872026497,WBGene00007177,WBGene00007177,History: N.A.
WBGene00219755,linc-17,4.16299482724413,5.48380070337202e-24,1.36086629948805,2.6579953673615,2.09592431166963,35.384758236045,38.165177254024,35.3728948652707,WBGene00219755,WBGene00219755,History: N.A.
WBGene00019989,R09F10.8,2.86829463853802,8.61946912814994e-24,2.76868900803191,1.97155886407592,2.66510503528598,15.9060953337673,19.6033729105439,18.7681960390261,WBGene00019989,WBGene00019989,History: N.A.
