Gene Symbol,Ratio(endu-2_tm4977 vs. endu-2_GFP),log2FC,Input,Suggested Match,History
endu-2,-218.598,-218.598,endu-2,WBGene00019779,Public name for WBGene00019779. History: N.A.
T18D3.14,-49.3533,-49.3533,T18D3.14,WBGene00202278,Public name for WBGene00202278. History: N.A.
T18D3.10,-47.8846,-47.8846,T18D3.10,WBGene00196032,Public name for WBGene00196032. History: N.A.
kqt-2,-28.1609,-28.1609,kqt-2,WBGene00002234,Public name for WBGene00002234. History: N.A.
C50F7.5,-8.56357,-8.56357,C50F7.5,WBGene00016845,Public name for WBGene00016845. History: N.A.
T18D3.13,-8.3341,-8.3341,T18D3.13,WBGene00200284,Public name for WBGene00200284. History: N.A.
cav-1,-7.31706,-7.31706,cav-1,WBGene00000301,Public name for WBGene00000301. History: N.A.
Y47H10A.5,-6.97578,-6.97578,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
F19H6.4,-5.00798,-5.00798,F19H6.4,WBGene00008959,Public name for WBGene00008959. History: N.A.
dod-21,-4.86524,-4.86524,dod-21,WBGene00007873,Public name for WBGene00007873. History: N.A.
F29G9.1,-4.60174,-4.60174,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
ZK177.1,-4.59041,-4.59041,ZK177.1,WBGene00022669,Public name for WBGene00022669. History: N.A.
cht-1,-4.00348,-4.00348,cht-1,WBGene00000503,Public name for WBGene00000503. History: N.A.
B0284.6,-3.94955,-3.94955,B0284.6,WBGene00045189,Sequence name for WBGene00045189(srpr-1.1). History: N.A.
Y9D1A.1,-3.91542,-3.91542,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
Y68A4A.13,-3.84069,-3.84069,Y68A4A.13,WBGene00044212,Public name for WBGene00044212. History: N.A.
Y46H3C.5,-3.78969,-3.78969,Y46H3C.5,WBGene00021605,Public name for WBGene00021605. History: N.A.
F35F10.13,-3.75019,-3.75019,F35F10.13,WBGene00018062,Public name for WBGene00018062. History: N.A.
F08F3.6,-3.71771,-3.71771,F08F3.6,WBGene00017263,Public name for WBGene00017263. History: N.A.
M151.7,-3.6874,-3.6874,M151.7,WBGene00019799,Public name for WBGene00019799. History: N.A.
fem-3,-3.61434,-3.61434,fem-3,WBGene00001413,Public name for WBGene00001413. History: N.A.
clec-266,-3.54214,-3.54214,clec-266,WBGene00016088,Public name for WBGene00016088. History: N.A.
skr-10,-3.39099,-3.39099,skr-10,WBGene00004816,Public name for WBGene00004816. History: N.A.
C01G6.3,-3.26372,-3.26372,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
Y37H2A.14,-3.26307,-3.26307,Y37H2A.14,WBGene00045416,Public name for WBGene00045416. History: N.A.
tbx-9,-3.20677,-3.20677,tbx-9,WBGene00006546,Public name for WBGene00006546. History: N.A.
F55G11.4,-3.17754,-3.17754,F55G11.4,WBGene00010124,Public name for WBGene00010124. History: N.A.
F19B10.5,-3.16842,-3.16842,F19B10.5,WBGene00017587,Public name for WBGene00017587. History: N.A.
C50E3.13,-3.14306,-3.14306,C50E3.13,WBGene00016824,Public name for WBGene00016824. History: N.A.
Y51H7C.15,-3.14221,-3.14221,Y51H7C.15,WBGene00044439,Public name for WBGene00044439. History: N.A.
T22F3.11,-3.12792,-3.12792,T22F3.11,WBGene00020700,Public name for WBGene00020700. History: N.A.
C35E7.5,-3.10785,-3.10785,C35E7.5,WBGene00016457,Public name for WBGene00016457. History: N.A.
F46C3.7,-3.07488,-3.07488,F46C3.7,WBGene00164974,Public name for WBGene00164974. History: N.A.
trcs-1,-3.00245,-3.00245,trcs-1,WBGene00009186,Public name for WBGene00009186. History: N.A.
W09B7.1,-2.99684,-2.99684,W09B7.1,WBGene00021106,Public name for WBGene00021106. History: N.A.
T28A8.3,-2.99335,-2.99335,T28A8.3,WBGene00012109,Public name for WBGene00012109. History: N.A.
F53F8.3,-2.98928,-2.98928,F53F8.3,WBGene00010000,Public name for WBGene00010000. History: N.A.
inx-2,-2.93,-2.93,inx-2,WBGene00002124,Public name for WBGene00002124. History: N.A.
F46C5.1,-2.9078,-2.9078,F46C5.1,WBGene00009778,Public name for WBGene00009778. History: N.A.
ZC155.8,-2.90387,-2.90387,ZC155.8,WBGene00195016,Sequence name for WBGene00195016(srpr-2.1). History: N.A.
asfl-1,-2.86851,-2.86851,asfl-1,WBGene00007277,Public name for WBGene00007277. History: N.A.
cyb-2.1,-2.85312,-2.85312,cyb-2.1,WBGene00000866,Public name for WBGene00000866. History: N.A.
szy-4,-2.79178,-2.79178,szy-4,WBGene00077732,Public name for WBGene00077732. History: Renamed on 2012-08-15
Y75D11A.3,-2.7906,-2.7906,Y75D11A.3,WBGene00022292,Public name for WBGene00022292. History: N.A.
B0304.4,-2.78152,-2.78152,B0304.4,WBGene00015136,Public name for WBGene00015136. History: N.A.
vet-6,-2.7677,-2.7677,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
pot-2,-2.75869,-2.75869,pot-2,WBGene00010195,Public name for WBGene00010195. History: N.A.
clec-60,-2.75743,-2.75743,clec-60,WBGene00014046,Public name for WBGene00014046. History: N.A.
cdc-25.2,-2.74568,-2.74568,cdc-25.2,WBGene00000387,Public name for WBGene00000387. History: Renamed on 2015-03-06
F02H6.3,-2.73918,-2.73918,F02H6.3,WBGene00008536,Public name for WBGene00008536. History: N.A.
cin-4,-2.73728,-2.73728,cin-4,WBGene00022854,Public name for WBGene00022854. History: N.A.
srp-7,-2.73509,-2.73509,srp-7,WBGene00005648,Public name for WBGene00005648. History: N.A.
C27C12.3,-2.71992,-2.71992,C27C12.3,WBGene00007773,Public name for WBGene00007773. History: N.A.
cyb-2.2,-2.71612,-2.71612,cyb-2.2,WBGene00000867,Public name for WBGene00000867. History: N.A.
Y54G9A.5,-2.68992,-2.68992,Y54G9A.5,WBGene00013208,Public name for WBGene00013208. History: N.A.
ZK829.9,-2.68302,-2.68302,ZK829.9,WBGene00014097,Public name for WBGene00014097. History: N.A.
ets-7,-2.67349,-2.67349,ets-7,WBGene00017601,Public name for WBGene00017601. History: N.A.
H11L12.1,-2.6717,-2.6717,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
meg-4,-2.67094,-2.67094,meg-4,WBGene00016485,Public name for WBGene00016485. History: N.A.
DY3.8,-2.66968,-2.66968,DY3.8,WBGene00008440,Public name for WBGene00008440. History: N.A.
F31F6.2,-2.64866,-2.64866,F31F6.2,WBGene00009301,Public name for WBGene00009301. History: N.A.
Y39G10AL.1,-2.62375,-2.62375,Y39G10AL.1,WBGene00021458,Public name for WBGene00021458. History: N.A.
W06D11.3,-2.6182,-2.6182,W06D11.3,WBGene00012301,Public name for WBGene00012301. History: N.A.
flh-3,-2.61166,-2.61166,flh-3,WBGene00012436,Public name for WBGene00012436. History: N.A.
C29A12.1,-2.60607,-2.60607,C29A12.1,WBGene00007797,Public name for WBGene00007797. History: N.A.
Y34F4.5,-2.5899,-2.5899,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
C49F5.6,-2.58645,-2.58645,C49F5.6,WBGene00008210,Public name for WBGene00008210. History: N.A.
meg-3,-2.58529,-2.58529,meg-3,WBGene00001569,Public name for WBGene00001569. History: Renamed on 2014-08-15
Y62E10A.14,-2.58485,-2.58485,Y62E10A.14,WBGene00013380,Sequence name for WBGene00013380(memi-2). History: N.A.
Y51F10.2,-2.58264,-2.58264,Y51F10.2,WBGene00021763,Public name for WBGene00021763. History: N.A.
Y46H3C.7,-2.56989,-2.56989,Y46H3C.7,WBGene00021607,Public name for WBGene00021607. History: N.A.
fbxc-50,-2.55397,-2.55397,fbxc-50,WBGene00015912,Public name for WBGene00015912. History: N.A.
tts-1,-2.54922,-2.54922,tts-1,WBGene00006650,Public name for WBGene00006650. History: N.A.
C50E3.11,-2.54491,-2.54491,C50E3.11,WBGene00016822,Public name for WBGene00016822. History: N.A.
sea-1,-2.54207,-2.54207,sea-1,WBGene00004750,Public name for WBGene00004750. History: Renamed on 2005-12-19
