...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
rde-4,1371.98046650205,6.33071449484953,3.6006312506764e-134,8.25444714217564e-130,rde-4,WBGene00004326,Public name for WBGene00004326. History: N.A.
M176.5,378.848016394327,3.02882135491147,1.5619176802898002e-32,1.7903481410321899e-28,M176.5,WBGene00010944,Public name for WBGene00010944. History: N.A.
T05A12.4,404.218000457231,2.02207712932816,9.64032065500476e-18,7.36681170053281e-14,T05A12.4,WBGene00020235,Public name for WBGene00020235. History: N.A.
Y47G6A.29,168.159730267243,2.13300794303444,1.6498952591534502e-17,9.45596220402321e-14,Y47G6A.29,WBGene00003060,"Public name for Dead gene WBGene00021652. History of WBGene00021652: Merged into ""WBGene00003060"" on 2014-09-03"
E02H9.6,783.234336021628,-1.59955614603484,1.4153773016156601e-15,6.4895049279078195e-12,E02H9.6,WBGene00017104,Public name for WBGene00017104. History: N.A.
W04B5.6,538.686238470143,-1.71424421901501,3.7217603693860105e-15,1.4220226078029099e-11,W04B5.6,WBGene00021023,Public name for WBGene00021023. History: N.A.
gcy-28,2924.94556857759,1.57613155914752,8.2941409615258e-15,2.7163311648997002e-11,gcy-28,WBGene00020131,Public name for WBGene00020131. History: N.A.
Y41C4A.17,10303.7368161335,-2.49020074362655,4.65668265241973e-14,1.33079384518333e-10,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
ama-1,519.386089269689,1.77465924217474,5.2244905590621504e-14,1.33079384518333e-10,ama-1,WBGene00000123,Public name for WBGene00000123. History: Renamed on 2007-10-04
C32D5.18,152.717489269903,2.5884434690913,7.356086640261672e-14,1.68638286227999e-10,C32D5.18,WBGene00200080,Public name for WBGene00200080. History: N.A.
F58F9.1,1101.20629879907,-1.93825676687564,3.75024601908252e-13,7.81585363522425e-10,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
Y17D7C.3,1750.96873433713,-2.34127883007277,5.63314100584224e-13,1.07616464632445e-09,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
F13G11.3,644.848608477853,-1.8809294064859,7.697912487296329e-13,1.2605331697947701e-09,F13G11.3,WBGene00045038,Sequence name for WBGene00045038(ule-2). History: N.A.
gly-1,278.741984263207,2.57832456243351,7.21773703625974e-13,1.2605331697947701e-09,gly-1,WBGene00001626,Public name for WBGene00001626. History: N.A.
chs-2,172.518741668241,2.46481301650023,1.1426526547353999e-12,1.7463541406539402e-09,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
F19G12.2,301.070183066932,-1.79092501860303,6.18177841621572e-12,8.85732938698409e-09,F19G12.2,WBGene00017610,Public name for WBGene00017610. History: N.A.
prp-6,645.355589161114,1.60540973134892,1.0400108535961699e-11,1.40248522462895e-08,prp-6,WBGene00013343,Public name for WBGene00013343. History: N.A.
E01G4.6,74.2211751710464,2.85619226134753,1.77801991240012e-11,2.18499370490039e-08,E01G4.6,WBGene00008448,Public name for WBGene00008448. History: N.A.
let-19,1442.50595872739,1.53968734187639,1.8108999080962897e-11,2.18499370490039e-08,let-19,WBGene00002295,Public name for WBGene00002295. History: N.A.
haf-7,417.297358574972,1.70011710827389,2.432220784127269e-11,2.78793307380588e-08,haf-7,WBGene00001817,Public name for WBGene00001817. History: N.A.
tln-1,282.667735824096,1.43915104662029,3.23879545863823e-11,3.53568504234673e-08,tln-1,WBGene00006771,Public name for WBGene00006771. History: Renamed on 2011-08-12
C27A7.1,34.1914996104989,2.90578436955627,4.1899365325166897e-11,4.36610431854296e-08,C27A7.1,WBGene00007753,Sequence name for WBGene00007753(enpp-1). History: N.A.
T08A9.17,16.0122923762281,3.31608477494424,7.15162192689873e-11,7.12830142061536e-08,T08A9.17,WBGene00198310,Public name for WBGene00198310. History: N.A.
Y105C5A.1271,112.384877505701,-3.25433066498459,8.60670313499759e-11,8.22119455707583e-08,Y105C5A.1271,WBGene00194667,Public name for WBGene00194667. History: N.A.
ZC178.1,102.73437141086,2.51815466425294,9.064936903315319e-11,8.31254714034015e-08,ZC178.1,,"Public name for Dead gene WBGene00022535. History of WBGene00022535: Killed on 2017-03-03. Remark: This is on the opposite, incorrect strand to the Mucin gene ZC178.2."
igdb-2,355.420332915444,1.73065296896072,1.02901410544165e-10,9.07313398740378e-08,igdb-2,WBGene00007736,Public name for WBGene00007736. History: N.A.
C32D5.8,337.810554308003,1.54521085343599,1.29740766221321e-10,1.02715288580461e-07,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
