# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets > 1 RPM (2351),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000040,,,,WBGene00000040,WBGene00000040,History: N.A.
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000063,,,,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000065,,,,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000066,,,,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000074,,,,WBGene00000074,WBGene00000074,History: N.A.
WBGene00000090,,,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000094,,,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00000098,,,,WBGene00000098,WBGene00000098,History: N.A.
WBGene00000099,,,,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000101,,,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000106,,,,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000107,,,,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000137,,,,WBGene00000137,WBGene00000137,History: N.A.
WBGene00000143,,,,WBGene00000143,WBGene00000143,History: N.A.
WBGene00000144,,,,WBGene00000144,WBGene00000144,History: N.A.
WBGene00000146,,,,WBGene00000146,WBGene00000146,History: N.A.
WBGene00000150,,,,WBGene00000150,WBGene00000150,History: Renamed on 2015-03-05
WBGene00000151,,,,WBGene00000151,WBGene00000151,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000157,,,,WBGene00000157,WBGene00000157,History: N.A.
WBGene00000158,,,,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000161,,,,WBGene00000161,WBGene00000161,History: N.A.
WBGene00000163,,,,WBGene00000163,WBGene00000163,History: N.A.
WBGene00000165,,,,WBGene00000165,WBGene00000165,History: N.A.
WBGene00000168,,,,WBGene00000168,WBGene00000168,History: N.A.
WBGene00000181,,,,WBGene00000181,WBGene00000181,History: N.A.
WBGene00000183,,,,WBGene00000183,WBGene00000183,History: Renamed on 2020-09-10
WBGene00000184,,,,WBGene00000184,WBGene00000184,History: N.A.
WBGene00000186,,,,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000195,,,,WBGene00000195,WBGene00000195,History: N.A.
WBGene00000199,,,,WBGene00000199,WBGene00000199,History: N.A.
WBGene00000201,,,,WBGene00000201,WBGene00000201,History: N.A.
WBGene00000203,,,,WBGene00000203,WBGene00000203,History: N.A.
WBGene00000204,,,,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000206,,,,WBGene00000206,WBGene00000206,History: N.A.
