gene_id,gene_name,log2 fold change (MLE): group rrf3 Embryo vs N2 Embryo,Benjamini-Hochberg adjusted p-values,N2_Embryo_rep1.robustRPKM,N2_Embryo_rep2.robustRPKM,N2_Embryo_rep3.robustRPKM,rrf3_Embryo_rep1.robustRPKM,rrf3_Embryo_rep2.robustRPKM,rrf3_Embryo_rep3.robustRPKM,Input,Suggested Match,History
WBGene00008447,E01G4.5,3.28667320610819,6.509502344351431e-169,34.4236768026243,37.4507833879172,41.6347156633703,376.29894635581,324.494568948609,406.759348565894,WBGene00008447,WBGene00008447,History: N.A.
WBGene00018199,F39E9.7,4.00047135535431,7.777777502039789e-166,27.1216847535827,37.1648995452614,31.0241047050687,447.866090113197,525.771157714072,543.549709446704,WBGene00018199,WBGene00018199,History: N.A.
WBGene00235158,Y37E3.30,3.1986486602176,1.19924148875042e-154,41.3801516930791,48.2115062693042,38.9438237414848,371.522588656655,370.75076074438,435.687668149225,WBGene00235158,WBGene00235158,History: N.A.
WBGene00045366,Y17D7C.3,2.74363371662731,3.81454636682836e-134,66.9120512012732,78.8939095609935,75.032488049354,456.376208036511,482.798641330691,538.359661278989,WBGene00045366,WBGene00045366,History: N.A.
WBGene00010100,F55C9.3,4.10589175608431,4.1771099069599e-133,11.9040754870582,12.8185881307162,11.1121195210867,174.265170650976,211.214223000031,230.216705103341,WBGene00010100,WBGene00010100,History: N.A.
WBGene00219728,linc-16,3.37261035602084,1.25919415011753e-123,35.9105669718157,41.9086587301759,30.1753954485108,325.843761094643,367.627209715545,422.075233788328,WBGene00219728,WBGene00219728,History: N.A.
WBTransposon00000707,WBTransposon00000707,4.14650804934073,2.35083086973159e-115,41.6306368728193,63.2013263453315,33.7644998729545,679.755340798712,833.313517656877,918.591122601013,,,
WBGene00023036,F39E9.10,3.28434137289971,2.26052257679206e-105,15.2559476738903,20.711688809078,14.7662806048164,154.196573762822,172.010278138911,164.918824476762,WBGene00023036,WBGene00023036,History: N.A.
WBGene00013638,Y105C5A.14,2.49984975785713,1.12177727318889e-100,41.5195230733367,42.7032631340793,34.2094258851796,211.115721612271,220.267095565574,238.007157372648,WBGene00013638,WBGene00013638,"History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
WBGene00003242,mig-6,1.95728078620456,2.54362593932473e-100,20.7236827576885,21.7253200975046,21.5644296085393,86.1289163862151,83.5869371093455,78.8231919126694,WBGene00003242,WBGene00003242,History: N.A.
