# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Targets Adults > 50 RPM (1367),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000079,,,,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000099,,,,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000109,,,,WBGene00000109,WBGene00000109,History: N.A.
WBGene00000115,,,,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000123,,,,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000155,,,,WBGene00000155,WBGene00000155,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000158,,,,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000182,,,,WBGene00000182,WBGene00000182,History: Renamed on 2020-09-10
WBGene00000197,,,,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000226,,,,WBGene00000226,WBGene00000226,History: N.A.
WBGene00000227,,,,WBGene00000227,WBGene00000227,History: N.A.
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000231,,,,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000257,,,,WBGene00000257,WBGene00000257,History: N.A.
WBGene00000264,,,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000265,,,,WBGene00000265,WBGene00000265,History: N.A.
WBGene00000271,,,,WBGene00000271,WBGene00000271,History: N.A.
WBGene00000274,,,,WBGene00000274,WBGene00000274,History: N.A.
WBGene00000275,,,,WBGene00000275,WBGene00000275,History: N.A.
WBGene00000276,,,,WBGene00000276,WBGene00000276,History: N.A.
WBGene00000369,,,,WBGene00000369,WBGene00000369,History: N.A.
WBGene00000376,,,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
