gene_id,gene_name,log2 fold change (MLE): group rrf3 L2 vs N2 L2,Benjamini-Hochberg adjusted p-values,N2_L2_rep1.robustRPKM,N2_L2_rep2.robustRPKM,N2_L2_rep3.robustRPKM,rrf3_L2_rep1.robustRPKM,rrf3_L2_rep2.robustRPKM,rrf3_L2_rep3.robustRPKM,Input,Suggested Match,History
WBGene00194680,Y17D7C.6,5.38354655195186,8.92029011407976e-139,6.60733545929638,6.54696563538042,5.48413314972115,281.787820543882,247.550704675956,244.671828947219,WBGene00194680,WBGene00194680,History: N.A.
WBGene00235158,Y37E3.30,4.69332264980103,1.37917993349323e-100,5.96996778659922,5.01524862577529,3.65237658248953,137.091400456457,123.85649934985,114.146008946091,WBGene00235158,WBGene00235158,History: N.A.
WBGene00194667,Y105C5A.1271,4.63693915550108,5.59800955351569e-74,2.22368589451544,3.14766935389091,3.95913625674365,76.3220025207017,80.5025571914984,78.5277884711921,WBGene00194667,WBGene00194667,History: N.A.
WBGene00009374,F34D10.4,3.57092809360168,1.96220909595538e-72,8.17298185728781,9.21235987625832,6.50210062766784,108.828170244529,78.4425001345873,96.0699252203926,WBGene00009374,WBGene00009374,History: N.A.
WBGene00008447,E01G4.5,3.70277846980831,1.2661890259351999e-67,3.1604033958681,4.22756207068733,3.24000778529542,48.1459439479539,41.1960487741299,48.7024383720807,WBGene00008447,WBGene00008447,History: N.A.
WBGene00219950,F46A8.13,4.72199842226888,1.65510310970448e-65,20.3860472097803,15.6385426192092,7.93151116737492,413.084129053829,358.622825643641,366.28799062164,WBGene00219950,WBGene00219950,History: N.A.
WBGene00012452,Y17D7B.4,3.10495518697313,1.59838326965901e-58,25.421494815514,28.5477872051136,18.9540455439782,226.64650089332,189.366148751262,209.554605312159,WBGene00012452,WBGene00012452,History: N.A.
WBGene00045366,Y17D7C.3,2.64463298457886,3.7427770955384e-54,15.406966554857,20.087100482067,16.8436937238655,105.573907926681,108.161807856649,113.274309738488,WBGene00045366,WBGene00045366,History: N.A.
WBGene00014006,ZK596.1,2.537490220778,4.73972761324113e-52,75.1350835073482,75.3709620850175,57.9544730493729,447.833225538149,378.79516971087,382.627390083508,WBGene00014006,WBGene00014006,History: N.A.
WBGene00015646,mlt-10,2.62649287595577,4.73972761324113e-52,7.42671142314963,7.95304840643276,7.52939463314074,52.0081353944634,40.2780042292154,49.2334985903464,WBGene00015646,WBGene00015646,History: N.A.
WBGene00013638,Y105C5A.14,2.13571578093122,2.97375276320254e-50,24.3715182691599,27.761659584397,25.6141708209507,109.597274286105,118.531804729558,113.403407447231,WBGene00013638,WBGene00013638,"History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
WBGene00050903,Y17D7C.4,4.26289931038759,3.21650574997004e-50,3.27983724513056,4.58805185966067,2.17182464404208,66.8104508528876,61.4412592077609,61.4068289925366,WBGene00050903,WBGene00050903,History: N.A.
WBGene00001772,gst-24,-2.3234008918607,1.55312702694532e-46,143.848146185999,155.114704354151,128.635489148883,29.2719842379457,28.604286192464,27.5752383600557,WBGene00001772,WBGene00001772,History: N.A.
WBGene00019511,K08A2.1,2.59548705935814,1.3197880782025999e-41,15.5337728639505,18.6168018788803,15.1667031101792,119.339289555009,85.5277454784527,93.1537664881225,WBGene00019511,WBGene00019511,History: N.A.
WBGene00013926,nep-1,2.87514449264264,3.71949633682395e-40,4.17919298403792,4.01424301448662,6.51498320747073,37.8345989309914,35.0169779768311,35.6520586748128,WBGene00013926,WBGene00013926,History: N.A.
