...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
Y110A2AL.1,6355.434955,6.369819065,0.0,0.0,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
T23F6.3,3901.608263,-4.599425322,3.6700000000000003e-208,3.78e-204,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
jmjc-1,13001.25001,2.765250515,5.1399999999999996e-138,3.53e-134,jmjc-1,WBGene00020902,Public name for WBGene00020902. History: N.A.
mltn-3,1036.339847,-4.237947827,5.43e-121,2.8000000000000002e-117,mltn-3,WBGene00012199,Public name for WBGene00012199. History: N.A.
pde-4,609.9374077,-3.917244967,5.42e-118,2.24e-114,pde-4,WBGene00020114,Public name for WBGene00020114. History: N.A.
saeg-2,30379.76175,2.365292002,1.04e-99,3.58e-96,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
T28F2.1,262.7609997,-4.712445391,9.07e-98,2.67e-94,T28F2.1,WBGene00020900,Public name for WBGene00020900. History: N.A.
C53D5.5,2155.841032,3.107564332,6.09e-93,1.5699999999999999e-89,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
C27D8.3,7652.442422,2.904879889,2.3499999999999998e-83,5.38e-80,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
Y32H12A.1,356.6218738,-3.062481939,1.01e-67,2.07e-64,Y32H12A.1,WBGene00021310,Public name for WBGene00021310. History: N.A.
W06A11.4,6496.689957,2.346957595,3.23e-60,6.06e-57,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
cah-6,98.8920734,-4.219006815,1.04e-51,1.7899999999999998e-48,cah-6,WBGene00000284,Public name for WBGene00000284. History: N.A.
C36A4.11,177.6884934,3.128908678,4.58e-50,7.260000000000001e-47,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
C46G7.5,3748.2475,1.578922277,6e-48,8.83e-45,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
R03H10.6,2938.648755,-1.505012202,1.6199999999999999e-46,2.22e-43,R03H10.6,WBGene00019858,Public name for WBGene00019858. History: N.A.
ZC204.14,911.2109698,2.149822787,1.0399999999999999e-45,1.33e-42,ZC204.14,WBGene00022564,Public name for WBGene00022564. History: N.A.
tbc-8,1666.547006,2.66395911,7.399999999999997e-41,8.98e-38,tbc-8,WBGene00008018,Public name for WBGene00008018. History: N.A.
klf-1,8248.426476,1.765445641,1.16e-35,1.33e-32,klf-1,WBGene00018990,Public name for WBGene00018990. History: N.A.
his-16,238.2416004,2.456198446,1.04e-34,1.13e-31,his-16,WBGene00001890,Public name for WBGene00001890. History: N.A.
Y41D4A.7,141.5775285,-2.676086776,7.48e-34,7.71e-31,Y41D4A.7,WBGene00021509,Public name for WBGene00021509. History: N.A.
T04A8.5,350.4961059,-2.038342055,9.62e-33,9.439999999999999e-30,T04A8.5,WBGene00011407,Sequence name for WBGene00011407(ppat-1). History: N.A.
R07H5.9,2315.074366,2.04815486,1.1200000000000001e-32,1.0500000000000001e-29,R07H5.9,WBGene00011129,Public name for WBGene00011129. History: N.A.
R03D7.2,7804.949713,1.647042676,2.82e-32,2.53e-29,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
cpz-1,2239.408279,-2.1521045,9.28e-32,7.97e-29,cpz-1,WBGene00000788,Public name for WBGene00000788. History: N.A.
unc-50,1240.648943,1.584619128,1.24e-31,1.02e-28,unc-50,WBGene00006785,Public name for WBGene00006785. History: N.A.
npr-20,81.45103195,-2.980130047,1.8200000000000002e-29,1.44e-26,npr-20,WBGene00011578,Public name for WBGene00011578. History: N.A.
M03A1.8,562.7501986,-1.95380572,3.39e-29,2.59e-26,M03A1.8,WBGene00077490,Public name for WBGene00077490. History: N.A.
siah-1,5760.734352,1.74084298,6.15e-29,4.5300000000000004e-26,siah-1,WBGene00021369,Public name for WBGene00021369. History: N.A.
vglu-2,737.0992191,-1.371564709,6.71e-29,4.77e-26,vglu-2,WBGene00010755,Public name for WBGene00010755. History: N.A.
lea-1,3367.105519,-1.116656744,2.07e-28,1.4199999999999999e-25,lea-1,WBGene00002263,Public name for WBGene00002263. History: N.A.
chs-2,2628.14849,1.556036326,6.38e-28,4.24e-25,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
F15G9.1,830.0274647,-1.655150984,2.3400000000000003e-27,1.51e-24,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
ndx-1,3204.468346,-1.8279512,6.76e-26,4.2199999999999997e-23,ndx-1,WBGene00003578,Public name for WBGene00003578. History: N.A.
W05B2.2,2603.872446,-1.875701848,1.2e-25,7.26e-23,W05B2.2,WBGene00012271,Public name for WBGene00012271. History: N.A.
Y6B3B.1,513.3731039,-1.45173308,1.23e-25,7.26e-23,Y6B3B.1,WBGene00012387,Public name for WBGene00012387. History: N.A.
Y73F8A.32,259.1000114,-1.838229814,2.12e-25,1.22e-22,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
col-51,38.3313391,-3.0063397,3.07e-25,1.71e-22,col-51,WBGene00000628,Public name for WBGene00000628. History: N.A.
umps-1,3952.319921,1.346006067,4.63e-25,2.51e-22,umps-1,WBGene00011559,Public name for WBGene00011559. History: Renamed on 2014-11-12
nas-7,33.13829303,-3.053452114,8.4e-25,4.44e-22,nas-7,WBGene00003526,Public name for WBGene00003526. History: N.A.
T28F2.2,321.0696885,-1.564557652,1.32e-24,6.79e-22,T28F2.2,WBGene00020901,Public name for WBGene00020901. History: N.A.
Y119D3B.21,745.7456979,-1.28420315,1.95e-24,9.78e-22,Y119D3B.21,WBGene00022497,Public name for WBGene00022497. History: N.A.
F58A4.1,1195.13306,-1.68567531,1.26e-23,6.1900000000000006e-21,F58A4.1,WBGene00010226,Public name for WBGene00010226. History: N.A.
egl-8,5878.136674,-1.680429635,3.6599999999999995e-23,1.75e-20,egl-8,WBGene00001177,Public name for WBGene00001177. History: N.A.
K03E5.1,1595.641435,1.173303239,7.81e-23,3.66e-20,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
str-238,181.3911783,-1.739981101,9.919999999999999e-23,4.55e-20,str-238,WBGene00006266,Public name for WBGene00006266. History: N.A.
F09F7.6,1163.414886,-1.706557077,2.73e-22,1.22e-19,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
F54F7.7,489.83841,-1.813861763,8.71e-22,3.82e-19,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
