WB.ID,gene.name,CIS-BP.motif,TF,Input,Suggested Match,History
WBGene00000055,acr-16,M00590_2.00,Y44A6D.3,WBGene00000055,WBGene00000055,History: N.A.
WBGene00000296,cat-2,M00590_2.00,Y44A6D.3,WBGene00000296,WBGene00000296,History: N.A.
WBGene00000903,daf-7,M00590_2.00,Y44A6D.3,WBGene00000903,WBGene00000903,History: N.A.
WBGene00001052,dop-1,M00590_2.00,Y44A6D.3,WBGene00001052,WBGene00001052,History: N.A.
WBGene00001365,exc-4,M00590_2.00,Y44A6D.3,WBGene00001365,WBGene00001365,History: N.A.
WBGene00001427,fkb-2,M00590_2.00,Y44A6D.3,WBGene00001427,WBGene00001427,History: N.A.
WBGene00001485,fre-1,M00590_2.00,Y44A6D.3,WBGene00001485,WBGene00001485,History: N.A.
WBGene00001549,gcy-25,M00590_2.00,Y44A6D.3,WBGene00001549,WBGene00001549,History: N.A.
WBGene00002203,kin-20,M00590_2.00,Y44A6D.3,WBGene00002203,WBGene00002203,History: N.A.
WBGene00002977,lev-10,M00590_2.00,Y44A6D.3,WBGene00002977,WBGene00002977,History: N.A.
WBGene00003008,lin-22,M00590_2.00,Y44A6D.3,WBGene00003008,WBGene00003008,History: N.A.
WBGene00003061,lpd-5,M00590_2.00,Y44A6D.3,WBGene00003061,WBGene00003061,History: Renamed on 2008-02-26
WBGene00003156,mcm-4,M00590_2.00,Y44A6D.3,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00004452,rpl-38,M00590_2.00,Y44A6D.3,WBGene00004452,WBGene00004452,History: N.A.
WBGene00004777,ser-2,M00590_2.00,Y44A6D.3,WBGene00004777,WBGene00004777,History: N.A.
WBGene00005328,srh-109,M00590_2.00,Y44A6D.3,WBGene00005328,WBGene00005328,History: N.A.
WBGene00006102,str-37,M00590_2.00,Y44A6D.3,WBGene00006102,WBGene00006102,History: N.A.
WBGene00006377,syp-3,M00590_2.00,Y44A6D.3,WBGene00006377,WBGene00006377,History: N.A.
WBGene00006379,sys-1,M00590_2.00,Y44A6D.3,WBGene00006379,WBGene00006379,History: N.A.
WBGene00006412,nlg-1,M00590_2.00,Y44A6D.3,WBGene00006412,WBGene00006412,History: Renamed on 2019-05-20
WBGene00006830,unc-103,M00590_2.00,Y44A6D.3,WBGene00006830,WBGene00006830,History: N.A.
WBGene00007020,mdt-20,M00590_2.00,Y44A6D.3,WBGene00007020,WBGene00007020,History: N.A.
WBGene00007261,lron-3,M00590_2.00,Y44A6D.3,WBGene00007261,WBGene00007261,History: N.A.
