...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
ndx-1,2108.06397136171,-3.02924010049708,3.65326271078293e-194,7.12203565467132e-190,ndx-1,WBGene00003578,Public name for WBGene00003578. History: N.A.
tbc-6,1273.32987347356,4.06025122948739,2.41678076143956e-128,2.35575704721322e-124,tbc-6,WBGene00015410,Public name for WBGene00015410. History: N.A.
pde-4,592.272656717819,-4.66699150084129,2.234070138160509e-124,1.4517732447813e-120,pde-4,WBGene00020114,Public name for WBGene00020114. History: N.A.
Y102A5C.6,2847.33846942203,2.65791583375253,1.2074221961959601e-88,5.88467392871008e-85,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
Y71F9B.13,2295.9317083604,-3.73357558552135,2.89968338564175e-88,1.13058655206172e-84,Y71F9B.13,WBGene00022131,Public name for WBGene00022131. History: N.A.
F09F7.6,949.654267083422,-2.42571152046031,4.15212452552988e-88,1.34909446042008e-84,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
saeg-2,18803.0966773554,2.33154189334731,2.97369552285485e-80,8.28174203115076e-77,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
Y47D7A.16,1370.35568806884,-2.61871987586469,4.8474933068765e-69,1.1812735252194701e-65,Y47D7A.16,WBGene00044637,Sequence name for WBGene00044637(rft-1). History: N.A.
nlp-40,1309.47341770496,3.53578113514633,1.5171561383125201e-58,3.28632876848917e-55,nlp-40,WBGene00022276,Public name for WBGene00022276. History: N.A.
C46G7.5,3440.81056466571,2.24475935222931,1.0445429324456999e-57,2.03633644680289e-54,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
R03H10.6,1704.21967608055,-2.36776487874615,1.0291687253146799e-49,1.82396766363725e-46,R03H10.6,WBGene00019858,Public name for WBGene00019858. History: N.A.
nhr-64,1489.13682700356,3.4650004206131,2.22875785905662e-49,3.62080287185906e-46,nhr-64,WBGene00003654,Public name for WBGene00003654. History: N.A.
saeg-1,3844.53109275357,1.2370529874376,1.7040000171467401e-46,2.5553446410981297e-43,saeg-1,WBGene00010012,Public name for WBGene00010012. History: N.A.
nas-28,804.058083428821,-2.43813971761269,4.78020331060045e-40,6.65643311001113e-37,nas-28,WBGene00003546,Public name for WBGene00003546. History: N.A.
irx-1,1738.54471637005,-2.89767903482991,3.81006334926086e-39,4.951812332922701e-36,irx-1,WBGene00007984,Public name for WBGene00007984. History: N.A.
F15G9.1,490.156345187474,-1.89675462138351,5.31005749866955e-35,6.46997318353518e-32,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
dpf-6,5982.27448248446,-1.07606356617993,1.31010334056179e-34,1.5023802720148302e-31,dpf-6,WBGene00001059,Public name for WBGene00001059. History: N.A.
mef-2,2251.27784136871,1.64343604934126,2.63943913865621e-32,2.85865922267237e-29,mef-2,WBGene00003182,Public name for WBGene00003182. History: N.A.
Y38F1A.8,707.466783375217,-1.7887558513972,6.30592219918404e-31,6.47020806700489e-28,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
cor-1,1230.38652214719,-2.87308917917456,2.71953505521417e-29,2.65086679507001e-26,cor-1,WBGene00000768,Public name for WBGene00000768. History: N.A.
frpr-15,540.936713688737,-1.67432236862715,6.53263024147685e-29,6.06445840750434e-26,frpr-15,WBGene00010735,Public name for WBGene00010735. History: N.A.
C46G7.3,8160.86468362855,-2.33392786173208,1.92232914813958e-28,1.7034457610446e-25,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R07H5.9,1040.16301910207,1.75844125951412,2.162129450507409e-26,1.8326397233757402e-23,R07H5.9,WBGene00011129,Public name for WBGene00011129. History: N.A.
T22A3.12,448.400349969542,-1.51725568430358,3.52775812553023e-26,2.86556852738383e-23,T22A3.12,WBGene00206474,Public name for WBGene00206474. History: N.A.
T10D4.3,2094.08456535852,-1.47754137232343,4.03445449390803e-26,3.1460676143494804e-23,T10D4.3,WBGene00020407,Sequence name for WBGene00020407(chil-24). History: N.A.
ZK930.5,176.713029805275,-2.28817444443862,8.26286358015553e-26,6.195558672889699e-23,ZK930.5,WBGene00014155,Public name for WBGene00014155. History: N.A.
Y37E3.13,1151.03173463676,1.41911510251726,1.5613129008294401e-25,1.12732574080259e-22,Y37E3.13,WBGene00021353,Sequence name for WBGene00021353(iglr-3). History: N.A.
M03A1.8,415.45241448275,-1.90423519314397,6.660072710434501e-25,4.6370756246400195e-22,M03A1.8,WBGene00077490,Public name for WBGene00077490. History: N.A.
