# Table S1. ALG-3/4 26G-RNA targets and mRNA-Seq expression. Related to Figure 2.
# List of 1408 ALG-3/4 26G-RNA target genes and their expression by mRNA-Seq (RPM) in WT and alg-3/4 males grown at 25°C.
#
# WT RPM = WT male 25°C mRNA-Seq RPM normalized to the total number of genome-matching reads
# alg-3/4 RPM = alg-3/4 male 25°C mRNA-Seq RPM normalized to the total number of genome-matching reads
# Ratio = Expression of alg-3/4 relative to WT (alg-3/4 RPM)/ (alg-3/4 RPM + WT RPM)
Cosmid ID,WT RPM,alg-3/4  RPM,Ratio,Positively or Negatively Regulated,Input,Suggested Match,History
AH10.1,142.008596243928,57.379826867407,0.287779129660739,Positively-regulated,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
B0207.7,123.003319954449,18.8749430484891,0.133036186438921,Positively-regulated,B0207.7,WBGene00015030,Public name for WBGene00015030. History: N.A.
B0238.9,43.9794543808553,20.1526315010023,0.31423633309116,Positively-regulated,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
B0336.3,31.8951746592215,14.5772637082178,0.313675464862874,Positively-regulated,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0491.3,1321.88178161539,502.319730500659,0.275364167370948,Positively-regulated,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
C01B10.44,50.2413084184292,10.918428594203,0.178523144923723,Positively-regulated,C01B10.44,WBGene00194839,Public name for WBGene00194839. History: N.A.
C01G5.3,20.0306091143446,9.23420290679931,0.3155394574251,Positively-regulated,C01G5.3,WBGene00015305,Public name for WBGene00015305. History: N.A.
C03C10.1,180.788148441534,89.9608824064914,0.332266683004259,Positively-regulated,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
C04G2.10,15.2335162551506,1.74230243524515,0.10263436874658,Positively-regulated,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
C04G2.4,3277.64628698055,969.757404712754,0.228317691254382,Positively-regulated,C04G2.4,WBGene00003432,Sequence name for WBGene00003432(msp-36). History: N.A.
C04G2.9,1347.98162867235,341.394289139154,0.202083080230842,Positively-regulated,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C06A8.6,885.484751360086,148.96685821346,0.14400563238997,Positively-regulated,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
C06C3.10,214.404417485352,2.2649931658187,0.0104536822203539,Positively-regulated,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
C06C6.7,11.7298075164659,4.99460031436944,0.298641384788567,Positively-regulated,C06C6.7,WBGene00007381,Public name for WBGene00007381. History: N.A.
C09B9.4,75.8746290400768,20.6172454837343,0.213668203519527,Positively-regulated,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
C09B9.6,1708.66588599778,684.278246860444,0.285956632862596,Positively-regulated,C09B9.6,WBGene00003448,Sequence name for WBGene00003448(msp-55). History: N.A.
C09D4.3,185.914812565864,64.8136505911197,0.258501367475535,Positively-regulated,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C14A6.6,125.462653972949,58.3421585791408,0.31741366163961,Positively-regulated,C14A6.6,WBGene00007570,Public name for WBGene00007570. History: N.A.
C14B9.6,18.8954192011002,3.71691186185632,0.164375439732764,Positively-regulated,C14B9.6,WBGene00001565,Sequence name for WBGene00001565(gei-8). History: N.A.
C16D9.5,42.478074173016,16.5228347609082,0.280043732536601,Positively-regulated,C16D9.5,WBGene00015860,Public name for WBGene00015860. History: N.A.
C18E9.8,97.6629515684773,32.0002880606693,0.246795376640243,Positively-regulated,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
C24F3.5,54.1961636000549,15.5645684215234,0.223113605182769,Positively-regulated,C24F3.5,WBGene00000019,Sequence name for WBGene00000019(abt-1). History: N.A.
