gene_id,gene_name,chr,start,end,strand,mean of normalized counts for all samples,log2 fold change (MLE): group pid4 vs N2,BH adjusted p-values,WT_new_rep1_RppH.robustRPKM,WT_new_rep2_RppH.robustRPKM,WT_new_rep3_RppH.robustRPKM,WT_old_rep1_RppH.robustRPKM,WT_old_rep2_RppH.robustRPKM,WT_old_rep3_RppH.robustRPKM,W03_xf184_sensorOFF_rep1_RppH.robustRPKM,W03_xf184_sensorOFF_rep2_RppH.robustRPKM,W03_xf184_sensorOFF_rep3_RppH.robustRPKM,W03_xf184_sensorON_rep1_RppH.robustRPKM,W03_xf184_sensorON_rep2_RppH.robustRPKM,W03_xf184_sensorON_rep3_RppH.robustRPKM,WT_control_REP1_RppH.robustRPKM,WT_control_REP2_RppH.robustRPKM,WT_control_REP3_RppH.robustRPKM,WT_control_REP4_RppH.robustRPKM,Input,Suggested Match,History
WBGene00021679,Y48G1C.6,I,84991.0,86293.0,-,1213.41632449326,-1.2072897932546,3.02366549729394e-41,1620.40457434744,1531.77447312194,1913.38028548557,1528.15936727537,1418.76498723647,1444.06399628211,773.469526925503,760.000405883419,759.044362453546,644.637049348667,576.697980982569,654.976170551577,1562.08029985828,1716.3332350775,1710.93493768572,1603.88509574113,WBGene00021679,WBGene00021679,History: N.A.
WBGene00023284,F41B5.1,V,2255533.0,2256658.0,+,1203.48409305132,-1.99189668185917,2.51983765145431e-33,714.000359045052,1235.51316122883,1400.80089464264,1394.85744890858,1258.40309789961,1133.52160831742,372.382039952045,382.668630331465,359.11557627577,329.940803740195,262.391365847548,311.877790390875,1636.94513519964,1446.97128435061,1657.26170789303,1522.42471380016,WBGene00023284,WBGene00023284,History: N.A.
WBGene00012894,tbc-17,II,12694412.0,12725483.0,+,232.548014085703,1.42508729814583,1.27720033003613e-32,19.8815592355807,30.5416863426325,26.2283563933353,31.9749400006774,25.703503552122,33.2823832296364,76.9119419300103,77.0269602533409,74.0354717546406,62.2147838032387,72.4136061760334,67.3506565486701,28.9557296183807,23.4457087692014,21.9138597625285,22.9310694275219,WBGene00012894,WBGene00012894,History: N.A.
WBGene00022435,cfap-36,V,163842.0,172210.0,-,27.3871486605043,3.08745579175898,3.95652720656731e-32,0.405958333909842,3.24708182221136,2.31590294415826,4.55200062031138,2.7770832343919,2.04943690820561,24.7153175564671,22.7549986032044,22.8999455288686,18.0159235170289,24.6178995819683,18.9121457112575,4.63340941659758,3.49051716639024,3.90506660769748,1.10713486815584,WBGene00022435,WBGene00022435,History: Renamed on 2016-04-26
WBGene00045058,gadr-5,I,13984308.0,13989588.0,+,2178.60360542633,-0.996926722656518,6.50020126182834e-26,665.498960521748,654.622049271371,823.885084938567,774.950072909085,730.517115335815,748.086857350562,394.912640292359,431.544346121929,418.171997279837,340.138306095373,321.694111160297,355.941310084928,832.000910238269,729.340259390081,891.956244916744,688.561178211677,WBGene00045058,WBGene00045058,History: N.A.
WBGene00003884,osm-3,IV,3796306.0,3800461.0,-,913.353270169625,-1.44823997999429,1.85668176828789e-25,287.896580770897,315.922841638632,312.960298506941,510.048941596329,425.99397134771,467.827198887847,153.500485323227,143.759248891355,147.648455894658,128.227165532362,144.708587470553,120.259251114977,392.091767447669,344.733172832379,420.221760220269,338.917348890752,WBGene00003884,WBGene00003884,History: N.A.
WBGene00000566,cnt-2,III,10655018.0,10677521.0,+,124.240526833542,1.09415044080474,1.90812156143138e-23,17.4613200129687,16.6735384262962,16.6767810474495,14.3841263613971,13.6130302280839,16.0125552267452,36.8789684476317,32.5334053118025,35.8685846906246,29.6926642153399,35.5660034070985,27.0684748250191,16.7945179918226,14.0576956239503,14.4690704367777,13.9116768254583,WBGene00000566,WBGene00000566,History: N.A.
WBGene00015841,skpo-2,II,3431286.0,3436512.0,-,27.7695434604659,3.16512356742291,1.90812156143138e-23,2.03075365612245,1.69198996018172,2.31700052849198,4.67093124777121,1.65380915927593,1.70867350443209,16.4846873180733,11.066700051328,13.801685893748,23.4934225220898,24.8915835013907,25.1675005051233,1.9315022271796,1.9400952444049,1.08525481949044,1.66148936493625,WBGene00015841,WBGene00015841,History: N.A.
WBGene00018850,gpx-8,I,10781442.0,10782890.0,-,867.686532754747,-0.960099377254367,9.375154304753732e-23,691.907564776469,657.849351582472,728.7102220194,895.525990068301,664.865221586827,759.35234570504,389.192005454641,440.472307289177,376.928886634493,389.716745314567,317.978806377281,355.201470480212,803.355413283007,694.180397782909,833.510867141386,657.182103659668,WBGene00018850,WBGene00018850,History: N.A.
WBGene00000872,cyk-1,III,7023642.0,7029203.0,-,451.322627478279,0.91689163114976,9.423973923201312e-23,72.474122732248,58.2344212445558,50.0035079739773,47.1291482285633,60.8138982307735,56.0310243133695,107.564911291975,101.691909921668,101.219492716889,112.046275032603,121.292777034695,111.501174942869,62.2553485178388,58.726000127738,55.3588074979923,58.9852633520426,WBGene00000872,WBGene00000872,History: N.A.
