gene_id,gene_name,log2 fold change (MLE): group dpy f4 vs wt f3,Benjamini-Hochberg adjusted p-values,mutant_f2_smRNAseq_rep1,mutant_f2_smRNAseq_rep2,mutant_f2_smRNAseq_rep3,mutant_f2_smRNAseq_rep4,wt_smRNAseq_rep1,wt_smRNAseq_rep2,wt_smRNAseq_rep3,wt_smRNAseq_rep4,Input,Suggested Match,History
WBGene00045366,Y17D7C.3,-9.25731100130157,1.59540043732662e-24,609.269224404854,424.130165495413,0.0,0.0,205072.648442411,184672.263755566,220776.548791643,192817.932271491,WBGene00045366,WBGene00045366,History: N.A.
WBGene00016635,C44B11.6,-10.9461228882667,2.15414740677195e-23,0.0,0.0,0.0,0.0,287410.548101326,281458.621219316,307082.464784763,292211.35993513,WBGene00016635,WBGene00016635,History: N.A.
WBGene00185118,K02E2.11,-10.4259955003142,3.24002734829832e-21,690.620512890729,0.0,0.0,0.0,481019.72396099,391066.88870108,439842.535480046,410242.211770629,WBGene00185118,WBGene00185118,History: N.A.
WBGene00021375,Y37E11B.2,-9.89057010711324,3.97119792174909e-19,0.0,0.0,0.0,0.0,62410.079365219,65736.6698532171,59480.703331175,61225.3971166776,WBGene00021375,WBGene00021375,History: N.A.
WBGene00219707,linc-8,-9.79340398169681,8.55971834081628e-19,0.0,0.0,0.0,0.0,69203.173330918,69045.5902679812,73682.7242736098,57884.0991462639,WBGene00219707,WBGene00219707,History: N.A.
WBGene00007307,spch-1,-9.77702791600224,1.3143190418388e-18,0.0,0.0,0.0,0.0,89827.0702309886,56989.2002985512,73583.9498534518,107055.935671062,WBGene00007307,WBGene00007307,History: N.A.
WBGene00020313,T07E3.2,-3.87099714806864,2.2986854776198298e-18,3376.36695191023,2350.38800045375,4340.98123259698,2084.45203484844,47820.6743119112,50394.3093487018,37074.8497339502,43000.9366167344,WBGene00020313,WBGene00020313,History: N.A.
WBGene00019084,F59A6.2,-9.62526107079961,2.71225686273676e-18,0.0,0.0,0.0,980.91860463456,215330.92562134,176585.308414636,158049.186409089,209229.862516941,WBGene00019084,WBGene00019084,History: N.A.
WBGene00017853,F27C1.3,-9.54350104809964,4.79906653075289e-18,0.0,0.0,0.0,0.0,48656.9659135504,49619.0122817987,45896.5813346623,55434.1498047448,WBGene00017853,WBGene00017853,History: N.A.
WBGene00014179,ZK1010.5,-9.50934376062447,5.65774265223987e-18,0.0,0.0,0.0,0.0,17648.2449498681,18761.5456189996,22934.4640384973,21233.5009339284,WBGene00014179,WBGene00014179,History: N.A.
WBGene00019769,M04F3.3,-6.79748199393589,5.65774265223987e-18,160.566988466008,0.0,619.320968455051,297.385495064242,23009.2171372565,26325.2784777773,23439.3486234687,30327.1230155559,WBGene00019769,WBGene00019769,History: N.A.
WBGene00018999,F57B9.8,-9.52064831292568,5.90417265374547e-18,0.0,0.0,0.0,0.0,39073.2994663516,25799.4760250782,30075.1689559154,41592.777418085,WBGene00018999,WBGene00018999,History: N.A.
WBGene00020990,W03D8.9,-9.40621118181687,1.23437521475818e-17,0.0,0.0,0.0,0.0,41378.0407708378,34213.1092749499,41366.2460029653,45539.6407261825,WBGene00020990,WBGene00020990,History: N.A.
WBGene00019642,K11C4.1,-9.36873948532132,1.66258397333187e-17,0.0,0.0,0.0,0.0,37898.8324289925,41107.904038291,46127.4494500278,52186.8547801437,WBGene00019642,WBGene00019642,History: N.A.
WBGene00013033,Y49E10.10,-9.32725949574726,2.27450885606951e-17,0.0,0.0,0.0,0.0,29139.5964132913,30534.7767887992,26170.4821651413,36447.8185546776,WBGene00013033,WBGene00013033,History: N.A.
WBGene00013979,ZK507.3,-9.28547263911685,3.05236643052141e-17,0.0,0.0,0.0,0.0,32045.4777506643,42573.1125377833,34056.5207909039,39255.7984389449,WBGene00013979,WBGene00013979,History: N.A.
WBGene00012721,Y39E4B.13,-9.27287884483512,3.1572333281767e-17,0.0,0.0,0.0,0.0,69081.5760237733,90872.0283067825,75468.3671738959,84228.2496959642,WBGene00012721,WBGene00012721,History: N.A.
WBGene00017215,F07F6.1,-9.29324186526634,3.1572333281767e-17,0.0,0.0,0.0,0.0,25586.1555298399,24273.396466977,22968.7742406825,38685.3066873151,WBGene00017215,WBGene00017215,History: N.A.
WBGene00194700,B0025.5,-9.2691995368423,3.1572333281767e-17,0.0,0.0,0.0,0.0,89897.8733800942,106687.354083711,106595.175398487,126289.168793696,WBGene00194700,WBGene00194700,History: N.A.
WBGene00010507,K02E2.6,-9.24003995944526,3.26846586788317e-17,0.0,0.0,0.0,0.0,58919.1623607719,53401.1607704113,60173.8079433459,53432.5927802821,WBGene00010507,WBGene00010507,History: N.A.
WBGene00044258,Y57G11C.51,-9.24474536641635,3.26846586788317e-17,0.0,0.0,0.0,0.0,47834.8098940312,55120.1150881664,54445.1237003443,45793.7347187979,WBGene00044258,WBGene00044258,History: N.A.
WBGene00219758,linc-11,-9.23931353854061,3.3188496341741204e-17,0.0,0.0,0.0,0.0,44682.895682106,34528.6941136228,44031.1617458873,43360.6021048728,WBGene00219758,WBGene00219758,History: N.A.
WBGene00021019,W04B5.2,-9.1795630310619,5.557309172161461e-17,0.0,0.0,0.0,0.0,33016.9645682062,32355.3408388483,25360.678566069,26452.6943658658,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00008001,C38C10.3,-9.54683261637022,5.81295129889757e-17,0.0,0.0,0.0,0.0,65951.3995700605,35181.5475737543,41235.0034114622,67743.3496470387,WBGene00008001,WBGene00008001,History: N.A.
WBGene00009457,F36A2.10,-9.14292272098927,6.50793244327778e-17,0.0,0.0,0.0,0.0,66717.2867908741,64171.1427745279,60170.1169780056,63030.7688020273,WBGene00009457,WBGene00009457,History: N.A.
WBGene00020840,spch-3,-9.14283241975412,6.913215891987291e-17,0.0,0.0,0.0,0.0,44708.4401889833,48546.792933954,46355.1625584684,61057.532241425,WBGene00020840,WBGene00020840,History: N.A.
WBGene00235158,Y37E3.30,-9.0580236375745,1.35149942066268e-16,0.0,0.0,0.0,0.0,36558.5957789086,42319.4644461189,47617.0505820622,44286.7762172212,WBGene00235158,WBGene00235158,History: N.A.
WBGene00021398,Y38C1AA.7,-9.06682894749162,1.38349927845866e-16,0.0,0.0,0.0,0.0,44557.6165353338,58054.2443697045,62285.7475530364,73020.4584057754,WBGene00021398,WBGene00021398,History: N.A.
WBGene00050940,C25D7.16,-9.04340835591116,1.81152269495683e-16,0.0,0.0,0.0,0.0,110383.832160084,70082.3275658981,68005.0485459147,96365.6852537533,WBGene00050940,WBGene00050940,History: N.A.
WBGene00077437,Y59H11AR.6,-8.46136742979772,3.37736588894876e-16,898.700260767233,0.0,0.0,0.0,158733.233162338,87910.9487469575,113776.292148637,103011.485869294,WBGene00077437,WBGene00077437,History: N.A.
WBGene00014048,ZK666.8,-6.37069337879059,4.42080805687278e-16,189.624352993398,264.006140456583,365.698886989449,351.202526932342,25593.2983928665,22729.1458365728,20087.1719582676,22418.7616447061,WBGene00014048,WBGene00014048,History: N.A.
WBGene00012605,Y38F1A.1,-8.85049328274535,6.93871882474248e-16,0.0,0.0,0.0,0.0,29778.5041387839,32379.7784074577,28147.1046851671,33885.0223901121,WBGene00012605,WBGene00012605,History: N.A.
WBGene00013712,dlc-6,-8.83703446199499,7.37526078368867e-16,0.0,0.0,0.0,0.0,55272.6060158314,61370.8836116984,55095.7519266133,66273.5388571716,WBGene00013712,WBGene00013712,History: N.A.
WBGene00017279,F09C12.8,-8.85182555115959,7.37526078368867e-16,0.0,0.0,0.0,0.0,27213.9541911834,23944.0582522633,22180.6670546934,33208.2704894483,WBGene00017279,WBGene00017279,History: N.A.
WBGene00003467,msp-81,-8.7635387662981,1.39025993689577e-15,0.0,0.0,0.0,0.0,60497.3542097212,53646.5295124642,69334.7839180368,67520.2160843014,WBGene00003467,WBGene00003467,History: N.A.
WBGene00022094,Y69A2AR.23,-4.62084247328934,1.45633467191161e-15,1555.82989144023,1083.05879060909,750.121556992758,720.386623243621,32405.5392984245,26794.2666321713,22108.8233331114,29161.4502689305,WBGene00022094,WBGene00022094,History: N.A.
WBGene00020715,nspd-4,-8.74905075023649,1.4707378261574801e-15,0.0,0.0,0.0,0.0,56285.24764248,67901.1882193407,64382.9629575231,72654.5244456554,WBGene00020715,WBGene00020715,History: N.A.
WBGene00014154,ZK930.4,-8.23358706383594,1.6442610223766e-15,330.296767034696,0.0,636.991811304991,0.0,87508.1648853516,67804.7847858954,55470.043719593,80957.4647542293,WBGene00014154,WBGene00014154,History: N.A.
