gene_id,gene_name,chr,start,end,strand,mean of normalized counts for all samples,log2 fold change (MLE): group pid5 vs N2,BH adjusted p-values,WT_new_rep1_RppH.robustRPKM,WT_new_rep2_RppH.robustRPKM,WT_new_rep3_RppH.robustRPKM,WT_old_rep1_RppH.robustRPKM,WT_old_rep2_RppH.robustRPKM,WT_old_rep3_RppH.robustRPKM,Y45_xf181_sensorOFF_rep1_RppH.robustRPKM,Y45_xf181_sensorOFF_rep2_RppH.robustRPKM,Y45_xf181_sensorOFF_rep3_RppH.robustRPKM,Y45_xf181_sensorON_rep1_RppH.robustRPKM,Y45_xf181_sensorON_rep2_RppH.robustRPKM,Y45_xf181_sensorON_rep3_RppH.robustRPKM,WT_control_REP1_RppH.robustRPKM,WT_control_REP2_RppH.robustRPKM,WT_control_REP3_RppH.robustRPKM,WT_control_REP4_RppH.robustRPKM,Input,Suggested Match,History
WBGene00003704,nhr-114,V,4187185.0,4190008.0,+,448.535452834118,8.175135815507,4.06152071199164e-221,0.993868377752486,1.98326604306678,1.71563602481122,0.872837412598588,0.0,0.836020494733904,630.373379764039,593.396556909146,633.915602334181,481.480818648963,509.347150486723,559.125787896652,7.21616577518784,3.61355571474236,4.80208293439777,3.06120001924325,WBGene00003704,WBGene00003704,History: N.A.
WBGene00015128,B0303.7,III,8693638.0,8699497.0,+,506.006925471937,3.15819733592279,1.72386064009325e-153,34.2692863890943,57.6496559260067,61.9078046283547,50.0434367837481,57.0627486157372,43.910254754431,445.338773169435,457.369059187671,440.679197819796,440.237174395388,410.83226245042,423.473517170728,46.2918163179933,48.1006090938186,51.3423952249133,36.8205862585724,WBGene00015128,WBGene00015128,History: N.A.
WBGene00008283,C53D6.6,IV,9027686.0,9032659.0,-,134.254408960075,3.61371583756437,1.80176776678831e-135,4.1110672896862,8.76298100178029,9.24709640300448,8.2055253091481,13.2874754790302,7.23065745249807,120.162294743292,113.040337274461,114.838586121996,107.137621441339,106.372322687304,112.367446262642,17.3667880093714,9.78363583441832,12.0384735991912,8.79045460960379,WBGene00008283,WBGene00008283,History: N.A.
WBGene00020106,R151.1,III,7216526.0,7221186.0,+,169.878966882184,3.82985507911887,6.10605866904885e-77,7.95049751122036,11.0366826747597,15.3155368516729,10.9288244823063,6.14493155916254,7.56010573121197,103.132663813489,126.612311792729,102.502735494456,152.501528061777,167.345336133378,158.004876232554,11.0432467285959,6.53545300412109,10.021171713845,7.74330928760515,WBGene00020106,WBGene00020106,History: N.A.
WBGene00008051,lron-4,II,8108941.0,8112163.0,-,187.684304672676,3.22836863127525,4.60900859789719e-73,14.5241586811461,22.1288995049274,22.8131714451399,12.4106989883818,17.8330311349707,13.2080074052465,131.170764280749,144.80953455069,118.369551301568,191.812960365194,196.111987827437,182.246052199265,12.5406361155242,17.1268064384399,21.4955076875131,16.0476803922359,WBGene00008051,WBGene00008051,History: N.A.
WBGene00018989,F56F11.2,III,2882304.0,2884967.0,+,91.5838807357414,3.61195701814499,4.60900859789719e-73,6.9710883975193,13.2785088430703,12.3982917370686,11.6877706269109,20.0279250817149,6.93009692027764,113.890816195602,124.648158984488,118.018447469462,160.437613207046,132.964737176431,139.153431030554,9.20270560716326,5.52999869579477,10.2067489678051,8.51764021636567,WBGene00018989,WBGene00018989,History: N.A.
WBGene00010704,K09A11.1,X,13262495.0,13264589.0,+,477.246618636205,2.64238445242614,2.53385128452828e-72,56.1679105243216,69.0512332750437,66.0239183693491,83.5051112642155,76.4707970172212,63.4462755720052,370.080696711186,394.906305936284,381.903692962688,394.697707146008,392.936800883375,396.710812824669,32.6254029336157,45.5114538334228,76.2468258325674,48.5304288233244,WBGene00010704,WBGene00010704,History: N.A.
WBGene00003685,nhr-95,V,19076654.0,19082641.0,-,188.984013843086,3.46534309766604,3.44534910775512e-59,12.8451223948178,12.6277578271045,16.7388294508398,17.2531005709305,15.2975281696502,18.4321236313008,109.003887520872,120.214307516113,108.240045361551,216.253840647869,204.987527622797,198.984834149067,13.1667380669171,15.3844946415882,8.51857387901243,11.6364943885223,WBGene00003685,WBGene00003685,History: N.A.
WBGene00016614,trpp-12,X,2409570.0,2412966.0,+,123.668482468975,2.57247151129959,1.40771220241516e-55,19.6616797606694,26.9111279389288,22.3368416748343,29.6643812726366,24.8945391331508,14.4185962106284,117.499205552723,120.313428811888,113.023562801597,137.9535006236,152.160482274337,113.230894076585,21.9626575769899,13.1975826394363,14.6153104612872,18.351413164053,WBGene00016614,WBGene00016614,"History: Split into C43H6.12(WBGene00303045). History of WBGene00016614: Split into ""WBGene00303045"" on 2018-03-02"
WBGene00021555,Y45G5AM.2,V,4175882.0,4181357.0,+,283.821004553243,-8.69121887932562,1.40771220241516e-55,105.564196476749,82.4874891549911,76.9829514446113,64.0178907399148,101.401198328268,75.8991866074007,0.312028215714724,0.0,0.318362331733668,0.0,0.573301449506777,0.159473168996581,109.080560664052,111.185295092188,123.845053279728,119.604238283906,WBGene00021555,WBGene00021555,History: N.A.
