WB.ID,gene.name,CIS-BP.motif,TF,Input,Suggested Match,History
WBGene00006700,uba-2,M00595_2.00,ATF-7,WBGene00006700,WBGene00006700,History: N.A.
WBGene00006958,wve-1,M00595_2.00,ATF-7,WBGene00006958,WBGene00006958,History: N.A.
WBGene00008610,F09C3.2,M00595_2.00,ATF-7,WBGene00008610,WBGene00008610,History: Renamed on 2021-12-09
WBGene00009528,F38A6.4,M00595_2.00,ATF-7,WBGene00009528,WBGene00009528,History: N.A.
WBGene00012713,bckd-1A,M00595_2.00,ATF-7,WBGene00012713,WBGene00012713,History: N.A.
WBGene00013154,Y53F4B.7,M00595_2.00,ATF-7,WBGene00013154,WBGene00013154,History: N.A.
WBGene00013172,Y53F4B.26,M00595_2.00,ATF-7,WBGene00013172,WBGene00013172,History: N.A.
WBGene00015293,C01C4.3,M00595_2.00,ATF-7,WBGene00015293,WBGene00015293,History: N.A.
WBGene00015357,C02F12.8,M00595_2.00,ATF-7,WBGene00015357,WBGene00015357,History: N.A.
WBGene00015755,C14B9.10,M00595_2.00,ATF-7,WBGene00015755,WBGene00015755,History: N.A.
WBGene00016557,ceh-84,M00595_2.00,ATF-7,WBGene00016557,WBGene00016557,History: N.A.
WBGene00016930,madf-6,M00595_2.00,ATF-7,WBGene00016930,WBGene00016930,History: N.A.
WBGene00017524,F16G10.9,M00595_2.00,ATF-7,WBGene00017524,WBGene00017524,History: N.A.
WBGene00018019,F33H12.1,M00595_2.00,ATF-7,WBGene00018019,WBGene00018019,History: N.A.
WBGene00021335,spp-23,M00595_2.00,ATF-7,WBGene00021335,WBGene00021335,History: N.A.
WBGene00022389,pde-6,M00595_2.00,ATF-7,WBGene00022389,WBGene00022389,History: N.A.
WBGene00022791,ZK686.1,M00595_2.00,ATF-7,WBGene00022791,WBGene00022791,History: N.A.
WBGene00022793,ZK686.3,M00595_2.00,ATF-7,WBGene00022793,WBGene00022793,History: N.A.
WBGene00022794,snu-23,M00595_2.00,ATF-7,WBGene00022794,WBGene00022794,"History: Split into ZK686.6(WBGene00044799). History of WBGene00022794: Split into ""WBGene00044799"" on 2006-04-21"
WBGene00044211,Y60A3A.25,M00595_2.00,ATF-7,WBGene00044211,WBGene00044211,History: N.A.
WBGene00236808,C54G6.8,M00595_2.00,ATF-7,WBGene00236808,WBGene00236808,History: N.A.
WBGene00304783,C31E10.11,M00595_2.00,ATF-7,WBGene00304783,WBGene00304783,History: N.A.
WBGene00000776,cpl-1,M00604_2.00,CEBP-1,WBGene00000776,WBGene00000776,History: N.A.
WBGene00000892,cyn-16,M00604_2.00,CEBP-1,WBGene00000892,WBGene00000892,History: N.A.
WBGene00001338,ears-2,M00604_2.00,CEBP-1,WBGene00001338,WBGene00001338,History: Renamed on 2010-01-29
WBGene00003159,mcm-7,M00604_2.00,CEBP-1,WBGene00003159,WBGene00003159,History: N.A.
WBGene00003170,mec-6,M00604_2.00,CEBP-1,WBGene00003170,WBGene00003170,History: N.A.
WBGene00003630,nhr-40,M00604_2.00,CEBP-1,WBGene00003630,WBGene00003630,"History: Split into T03G6.7(WBGene00303074). History of WBGene00003630: Split into ""WBGene00303074"" on 2018-03-02"
WBGene00003804,npp-18,M00604_2.00,CEBP-1,WBGene00003804,WBGene00003804,History: N.A.
WBGene00004077,pop-1,M00604_2.00,CEBP-1,WBGene00004077,WBGene00004077,History: N.A.
WBGene00004282,rab-30,M00604_2.00,CEBP-1,WBGene00004282,WBGene00004282,History: N.A.
WBGene00004681,rsd-2,M00604_2.00,CEBP-1,WBGene00004681,WBGene00004681,History: N.A.
WBGene00004765,sel-8,M00604_2.00,CEBP-1,WBGene00004765,WBGene00004765,History: N.A.
WBGene00004891,smr-1,M00604_2.00,CEBP-1,WBGene00004891,WBGene00004891,History: N.A.
WBGene00006702,ubc-3,M00604_2.00,CEBP-1,WBGene00006702,WBGene00006702,History: N.A.
WBGene00006817,unc-85,M00604_2.00,CEBP-1,WBGene00006817,WBGene00006817,History: Renamed on 2008-06-05
WBGene00008138,C47D12.4,M00604_2.00,CEBP-1,WBGene00008138,WBGene00008138,History: N.A.
WBGene00009021,F21D9.8,M00604_2.00,CEBP-1,WBGene00009021,WBGene00009021,History: N.A.
WBGene00009944,mtcu-2,M00604_2.00,CEBP-1,WBGene00009944,WBGene00009944,History: N.A.
WBGene00010099,fbxb-117,M00604_2.00,CEBP-1,WBGene00010099,WBGene00010099,History: N.A.
WBGene00010988,metr-1,M00604_2.00,CEBP-1,WBGene00010988,WBGene00010988,History: N.A.
WBGene00011561,ttr-15,M00604_2.00,CEBP-1,WBGene00011561,WBGene00011561,History: N.A.
WBGene00011625,vps-39,M00604_2.00,CEBP-1,WBGene00011625,WBGene00011625,History: N.A.
WBGene00011826,T18D3.9,M00604_2.00,CEBP-1,WBGene00011826,WBGene00011826,History: N.A.
WBGene00011939,prmt-9,M00604_2.00,CEBP-1,WBGene00011939,WBGene00011939,History: Renamed on 2016-11-29
WBGene00011940,T23B5.3,M00604_2.00,CEBP-1,WBGene00011940,WBGene00011940,History: N.A.
WBGene00012489,Y19D2B.1,M00604_2.00,CEBP-1,WBGene00012489,WBGene00012489,History: N.A.
WBGene00012553,cox-5A,M00604_2.00,CEBP-1,WBGene00012553,WBGene00012553,History: Renamed on 2017-09-05
WBGene00012702,ztf-20,M00604_2.00,CEBP-1,WBGene00012702,WBGene00012702,History: N.A.
WBGene00013019,Y48G10A.2,M00604_2.00,CEBP-1,WBGene00013019,WBGene00013019,History: N.A.
WBGene00013440,nrps-1,M00604_2.00,CEBP-1,WBGene00013440,WBGene00013440,History: N.A.
WBGene00013773,Y116A8A.2,M00604_2.00,CEBP-1,WBGene00013773,WBGene00013773,History: N.A.
WBGene00015791,C15C7.5,M00604_2.00,CEBP-1,WBGene00015791,WBGene00015791,History: Renamed on 2021-01-02
