# Supplemental Table 3
# Normalized siRNA counts (reads per million) for 5'UTR of genes with significant gene expression differences between control and postdauer animals (Hall et al 2010). Dauer and L3 siRNA counts normalized to total siRNAs.
Gene,...2,PD1/CON1 ratio,PD2/CON2 ratio,CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,Input,Suggested Match,History
far-3,,,,0.0,0.0,0.0,0.0,far-3,WBGene00001387,Public name for WBGene00001387. History: N.A.
T24B8.5,,,,0.0,0.0,0.0,0.0,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
W03F9.4,,,,0.0,0.0,0.0,0.271499502612911,W03F9.4,WBGene00021002,Public name for WBGene00021002. History: N.A.
cyp-13A12,,,,0.0,0.0,0.0,0.0271499502612911,cyp-13A12,WBGene00008810,Public name for WBGene00008810. History: N.A.
lys-10,,0.0396562213893606,6.15721249597145,0.383264460927664,0.0217721240736553,0.0151988203132214,0.134055594410151,lys-10,WBGene00003099,Public name for WBGene00003099. History: N.A.
cyp-29A2,,,,0.0,0.0,0.0,0.0,cyp-29A2,WBGene00011830,Public name for WBGene00011830. History: N.A.
dod-23,,,,0.0,0.0,0.0,0.0301665812348232,dod-23,WBGene00009898,Public name for WBGene00009898. History: N.A.
T24C4.4,,,,0.0,0.0,0.0,0.0,T24C4.4,WBGene00020760,Public name for WBGene00020760. History: N.A.
K07C11.7,,,,0.0,0.0,0.0,0.0,K07C11.7,WBGene00019479,Public name for WBGene00019479. History: N.A.
ugt-37,,,,0.0,0.0,0.0,0.0,ugt-37,WBGene00017332,Public name for WBGene00017332. History: N.A.
Y41D4B.16,,,,0.0,0.0,0.279811854509028,0.0,Y41D4B.16,WBGene00021518,Sequence name for WBGene00021518(hpo-6). History: N.A.
fat-5,,,,0.0,0.0,0.279811854509028,0.0,fat-5,WBGene00001397,Public name for WBGene00001397. History: N.A.
lips-10,,,,0.0,0.0,0.0,0.271499502612911,lips-10,WBGene00008803,Public name for WBGene00008803. History: N.A.
dod-19,,,,0.0,0.0,0.0,0.0,dod-19,WBGene00022644,Public name for WBGene00022644. History: N.A.
clec-41,,,0.44669801852423,0.0,0.303896022988721,0.0,0.135749751306456,clec-41,WBGene00007153,Public name for WBGene00007153. History: N.A.
F08C6.2,,,0.0,0.0,0.253246685823934,0.0,0.0,F08C6.2,WBGene00017241,Sequence name for WBGene00017241(pcyt-1). History: N.A.
clec-265,,1.61314929754116,,0.0545920858682205,0.0,0.0880651849696264,0.0144798829728544,clec-265,WBGene00019738,Public name for WBGene00019738. History: N.A.
Y54B9A.1,,,,0.0,0.0,0.0,0.0,Y54B9A.1,WBGene00021821,Public name for WBGene00021821. History: N.A.
hsp-17,,,,0.0,0.0,0.279811854509028,0.0,hsp-17,WBGene00002021,Public name for WBGene00002021. History: N.A.
ugt-44,,,0.268018811114538,0.0,1.01298674329574,0.0,0.271499502612911,ugt-44,WBGene00008486,Public name for WBGene00008486. History: N.A.
T19D12.4,,,1.7099852226713,0.0,0.0477131950893441,0.0,0.0815888585292112,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
K08D8.6,,,,0.0,0.0,0.0,0.0,K08D8.6,WBGene00010660,Public name for WBGene00010660. History: N.A.
lys-2,,1.29762835879747,,0.0051342283102027,0.0,0.0066623202558599,0.0,lys-2,WBGene00003091,Public name for WBGene00003091. History: N.A.
tbb-6,,,,0.0,0.0,0.0,0.0,tbb-6,WBGene00006539,Public name for WBGene00006539. History: N.A.
vet-6,,0.664942532532589,1.34954482241064,3.34428891974178,6.18083104925927,2.22375994381378,8.34130854072275,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
F49C12.7,,,,0.0,0.0,0.0,0.0,F49C12.7,WBGene00009877,Public name for WBGene00009877. History: N.A.
scl-24,,,0.0,0.0,0.0101298674329574,0.0,0.0,scl-24,WBGene00008575,Public name for WBGene00008575. History: N.A.
his-48,,0.544084449186468,0.283189657446094,2.65711449217533,2.23701230702919,1.4456946749006,0.633498748930292,his-48,WBGene00001922,Public name for WBGene00001922. History: N.A.
cyp-13A10,,,,0.0,0.0,0.0,0.0,cyp-13A10,WBGene00014254,Public name for WBGene00014254. History: N.A.
F53C11.1,,,,0.0,0.0,0.0,0.0,F53C11.1,WBGene00009971,Public name for WBGene00009971. History: N.A.
F26A1.14,,1.5357221804059,0.0,0.911010657002666,0.0633116714559836,1.39905927254514,0.0,F26A1.14,WBGene00017811,"Public name for Dead gene WBGene00017812. History of WBGene00017812: Merged into ""WBGene00017811"" on 2018-11-14"
T23D8.7,,,0.0,0.0,0.0844154775257495,0.0,0.0,T23D8.7,WBGene00011945,Sequence name for WBGene00011945(alg-5). History: N.A.
Y69H2.3,,,,0.0,0.0,0.0,0.0,Y69H2.3,WBGene00013481,Public name for WBGene00013481. History: N.A.
C34H4.2,,,,0.0,0.0,0.0,0.0,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
Y45F10C.2,,1.80673197694811,0.178679207409692,1.93589764613066,0.759740057471803,3.49764818136285,0.135749751306456,Y45F10C.2,WBGene00012878,Public name for WBGene00012878. History: N.A.
C08F11.12,,1.56364440186782,0.357358414819384,2.50527930675733,0.759740057471803,3.91736596312639,0.271499502612911,C08F11.12,WBGene00007459,Public name for WBGene00007459. History: N.A.
F28D1.2,,0.0,,0.227752664250666,0.0,0.0,0.0,F28D1.2,WBGene00009212,Sequence name for WBGene00009212(atz-1). History: N.A.
cyp-13B1,,0.0,,0.0090226495469544,0.0,0.0,0.0,cyp-13B1,WBGene00008519,"Public name for WBGene00008519. History: Split into C29F7.8(WBGene00044405). History of WBGene00008519: Split into ""WBGene00044405"" on 2005-05-27"
F57C7.1,,1.22857774432472,0.114865204763373,0.683257992751999,3.54545360153508,0.839435563527084,0.407249253919367,F57C7.1,WBGene00010199,Sequence name for WBGene00010199(bet-2). History: N.A.
clec-173,,,0.323013632938756,0.0,0.0254702854267422,0.2858946844142,0.008227249427679,clec-173,WBGene00044469,Public name for WBGene00044469. History: N.A.
cyp-25A1,,2.45715548864943,,0.227752664250666,0.0,0.559623709018056,0.0,cyp-25A1,WBGene00007963,Public name for WBGene00007963. History: N.A.
F01D5.1,,,,0.0,0.0,0.0,0.0,F01D5.1,WBGene00008492,Public name for WBGene00008492. History: N.A.
T19B10.2,,,,0.0,0.0,0.0,0.0,T19B10.2,WBGene00011831,Public name for WBGene00011831. History: Renamed on 2005-03-17
T14G8.3,,0.175511106332102,0.0,0.797134324877332,0.531818040230262,0.139905927254514,0.0,T14G8.3,WBGene00011771,Public name for WBGene00011771. History: N.A.
T04G9.7,,0.0,,0.227752664250666,0.0,0.0,0.0,T04G9.7,WBGene00020218,Public name for WBGene00020218. History: N.A.
rga-4,,1.40408885065682,0.857660195566521,0.797134324877332,0.316558357279918,1.11924741803611,0.271499502612911,rga-4,WBGene00022286,Public name for WBGene00022286. History: N.A.
F59C12.4,,,,0.0,0.0,0.279811854509028,0.0,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
C35E7.1,,0.409525914774905,0.0409956700411504,0.683257992751999,0.557142708812655,0.279811854509028,0.0228404386563164,C35E7.1,WBGene00016453,Sequence name for WBGene00016453(vet-2). History: N.A.
inx-2,,,6.67070226898809,0.0,0.0407002878655078,0.0,0.271499502612911,inx-2,WBGene00002124,Public name for WBGene00002124. History: N.A.
vps-33.2,,,,0.0,0.0,0.0,0.0046809229245492,vps-33.2,WBGene00016960,Public name for WBGene00016960. History: N.A.
F02E8.4,,1.7200088420546,1.60811286668723,2.27752664250666,0.506493371647869,3.91736596312639,0.814498507838734,F02E8.4,WBGene00017177,Public name for WBGene00017177. History: N.A.
C05D12.4,,,,0.0,0.0,0.0,0.0,C05D12.4,WBGene00007341,Public name for WBGene00007341. History: N.A.
clc-1,,,,0.0,0.0,0.0,0.0,clc-1,WBGene00000522,Public name for WBGene00000522. History: N.A.. Other name for WBGene00020246(clic-1). History: Renamed on 2008-04-30
C49C3.9,,,,0.0,0.0,0.0,0.0,C49C3.9,WBGene00008199,Public name for WBGene00008199. History: N.A.
C05D12.3,,35.6285051858805,,0.0078535951213557,0.0,0.279811854509028,0.0,C05D12.3,WBGene00014666,Public name for WBGene00014666. History: N.A.
F02H6.4,,0.826742882806085,1.78121903349017,3.55044379884156,2.88062786944323,2.93530414149526,5.13102918945453,F02H6.4,WBGene00008537,Public name for WBGene00008537. History: N.A.
sdz-30,,2.01160573256899,,0.267941899384339,0.0,0.53899346079696,0.0,sdz-30,WBGene00011432,Public name for WBGene00011432. History: N.A.
F28B4.3,,,0.0,0.0,0.0422078653862177,0.0,0.0,F28B4.3,WBGene00017892,Public name for WBGene00017892. History: N.A.
sex-1,,,,0.0,0.0,0.0,0.0542999005225822,sex-1,WBGene00004786,Public name for WBGene00004786. History: N.A.
F10D2.10,,,0.0,0.0,0.0097403740301601,0.0,0.0,F10D2.10,WBGene00017335,Public name for WBGene00017335. History: N.A.
ncbp-2,,1.84286661648707,1.1133089933457,0.455505328501333,1.09740222082149,0.839435563527084,1.2217477617581,ncbp-2,WBGene00009141,Public name for WBGene00009141. History: N.A.
C39B5.2,,1.18132475415838,0.636544676397028,5.92156927051733,4.05194697318295,6.9952963627257,2.57924527482266,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
